target,block,k_calibration,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4,5,560,1.3604166666666668,1.6732496481160948,0.6272371018407928,0.6633150634765075,0.6065205102868627,2.0851447057404795,1.6498594248421175
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,1,560,2.098679716056326,2.502249743154708,0.34142271144884506,0.35496471195981777,0.32376995023951305,2.469347157175973,1.7778651897394486
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2,560,1.815845566037069,2.210706187531637,0.5901943041421512,0.5941696131256897,0.4712334868009207,2.303679399462999,1.601722242899297
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,3,560,1.526446302582076,1.8506250890933094,0.538426207002436,0.5176618676568824,0.46332881674213916,1.5230698306984067,1.8027766543144808
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,5,560,1.3527102551131633,1.6749701431565807,0.625358621311449,0.6638186346141968,0.6061165622872058,2.0851447057404795,1.6554163294368014
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_physio,1,560,2.1101292402684124,2.472586192392803,0.3669587323652987,0.38561390666251527,0.3355256773580106,2.469347157175973,1.7034173456802126
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_physio,2,560,2.494847432795882,2.9091556880058844,0.6255144340101466,0.6241700672343296,0.344704921788146,2.303679399462999,1.544739087735741
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_physio,3,560,2.18038493096547,2.4952075748545504,0.5546678674869397,0.5269568429864239,0.323254155820751,1.5230698306984067,1.760147491665848
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_physio,5,560,1.351080196489045,1.6623308932458716,0.6577797152217068,0.6894695231051637,0.614438192791383,2.0851447057404795,1.6053601419765338
arousal,emg_lagged_interaction_experimental,16,stimulus_only,1,320,2.003125,2.375438556000414,0.4191503882651108,0.4514829531503923,0.3870785245530663,2.4511456983164015,1.7342545628854171
arousal,emg_lagged_interaction_experimental,16,stimulus_only,2,320,2.495833333333333,2.9007901222483046,0.6182205883856975,0.6336563899879986,0.3436852402809324,2.2854648562983852,1.5593130693558266
arousal,emg_lagged_interaction_experimental,16,stimulus_only,3,320,2.453125,2.778576274121535,0.555264648940208,0.5246828302883182,0.27758922410694675,1.517318641345647,1.7605818462940028
arousal,emg_lagged_interaction_experimental,16,stimulus_only,5,320,1.3375,1.6446461963325458,0.6694851663476047,0.7147849068190775,0.617286585225432,2.014592758940377,1.617334685331085
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,1,320,2.0276041666666664,2.481113556282071,0.35833740603662534,0.37650082859400474,0.3425265808948536,2.4511456983164015,1.8256524114492758
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,2,320,1.4578125,1.862737680583787,0.5877309220839888,0.6014927221352198,0.5483102739580907,2.2854648562983852,1.5678571357951874
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,3,320,1.2739583333333333,1.6614305770931266,0.5207425871263233,0.48799713136707995,0.5117038367854614,1.517318641345647,1.8305005932462846
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,5,320,1.3005208333333333,1.6019329686697603,0.6414421220187114,0.6797188418137098,0.6267713369224308,2.014592758940377,1.6674317905214793
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,1,320,2.027612840624264,2.4817714563853652,0.358331650044472,0.376725509524097,0.34263403670262993,2.4511456983164015,1.8275218067415393
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,2,320,1.4555453707883803,1.8630308483258977,0.5882104759631861,0.6017576387805673,0.5499271877335545,2.2854648562983852,1.577339597806597
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,3,320,1.3000374077683121,1.7291303208431335,0.502793865038825,0.4659049947596038,0.4811929933822037,1.517318641345647,1.817490527022446
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,5,320,1.2931111339510029,1.607189199316934,0.6386121201086054,0.6764117579265183,0.6248167146977677,2.014592758940377,1.671817035923423
