target,block,k_calibration,model,subjects,rmse_wins_vs_fewshot,rmse_losses_vs_fewshot,rmse_ties_vs_fewshot,rmse_win_margin_vs_fewshot,mean_delta_rmse_model_minus_fewshot,median_delta_rmse_model_minus_fewshot,worst_regression_delta_rmse,best_gain_delta_rmse
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,4,3,1,0,2,-0.014533163327426601,-0.017497639877414817,0.018668084061398194,-0.041805457616274966
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.014533163327426601,-0.017497639877414817,0.018668084061398194,-0.041805457616274966
valence,eeg_entropy_complexity,0,stimulus_plus_physio,4,3,1,0,2,-0.014533163327426601,-0.017497639877414817,0.018668084061398194,-0.041805457616274966
valence,eeg_entropy_complexity,4,stimulus_only,4,4,0,0,4,-0.04801632502756187,-0.04262861087704517,-0.02877035898091318,-0.07803771937524395
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.15273118818980136,0.15483082726160813,0.171588710747143,0.1296743874888462
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,4,0,4,0,-4,0.1342266525513232,0.14255744439916884,0.14914658236315526,0.1026451390437999
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.018312142465596315,-0.020231634094160844,0.011050263909372804,-0.043835565583436376
valence,eeg_entropy_complexity,4,stimulus_plus_physio,4,4,0,0,4,-0.06484184084087508,-0.07216452474066226,-0.016372040380839614,-0.09866627350133617
valence,eeg_entropy_complexity,16,stimulus_only,4,3,1,0,2,-0.018250975682668702,-0.027987571055826166,0.04637145241124685,-0.06340021303026933
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.015803421126101336,0.014017484188287077,0.027235839149551744,0.007942876978279445
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,0.010189975812772756,0.011006752368729611,0.04173110759681009,-0.02298470908317829
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,-0.005731786223964974,0.00045543284509197424,0.025581842396000587,-0.04941985298204443
valence,eeg_entropy_complexity,16,stimulus_plus_physio,4,2,2,0,0,-0.02397290030720234,-0.006828835137140166,0.025707241420186433,-0.10794117237471546
valence,emg_existing_22,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
valence,emg_existing_22,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
valence,emg_existing_22,0,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,0.01011919640401615,0.001136458379408567,0.04747173042559005,-0.009267861568342584
valence,emg_existing_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,0.01011919640401615,0.001136458379408567,0.04747173042559005,-0.009267861568342584
valence,emg_existing_22,0,stimulus_plus_physio,4,2,2,0,0,0.01011919640401615,0.001136458379408567,0.04747173042559005,-0.009267861568342584
valence,emg_existing_22,4,stimulus_only,4,3,1,0,2,-0.02817982755535875,-0.03731585775784685,0.04432474111629081,-0.08241233582203211
valence,emg_existing_22,4,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.12149321899104992,0.11938446275749426,0.1710379349855271,0.07616601546368407
valence,emg_existing_22,4,stimulus_plus_fewshot_bias_plus_physio,4,0,4,0,-4,0.10844859249761479,0.10972298819204318,0.16387144572873513,0.05047694787763768
valence,emg_existing_22,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.002072817342644806,-0.0040144965562622925,0.009624176014098484,-0.009886452272153123
valence,emg_existing_22,4,stimulus_plus_physio,4,3,1,0,2,-0.018945122830433925,-0.043348356667786136,0.08847554935781043,-0.07755932734397386
valence,emg_existing_22,16,stimulus_only,4,3,1,0,2,-0.013535976736077204,-0.014497019685387302,0.04979258853698654,-0.07494245611052075
valence,emg_existing_22,16,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.01468310748647561,0.01294809114965334,0.024717899644444152,0.00811834800215161
valence,emg_existing_22,16,stimulus_plus_fewshot_bias_plus_physio,4,0,4,0,-4,0.010420186223844385,0.005146572496672386,0.030687402667497476,0.0007001972345352936
valence,emg_existing_22,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,-0.001075257840360666,-0.0019691232402252457,0.011628292916160854,-0.011991077797153027
valence,emg_existing_22,16,stimulus_plus_physio,4,3,1,0,2,-0.0023184337313936765,-0.019679145740049253,0.10022422156367439,-0.07013966500915059
valence,emg_lagged_interaction_experimental,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
valence,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
valence,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_plus_physio,4,1,3,0,-2,0.005035714743086284,0.0010360982468198277,0.02103838931055879,-0.0029677268318533123
valence,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,1,3,0,-2,0.005035714743086284,0.0010360982468198277,0.02103838931055879,-0.0029677268318533123
valence,emg_lagged_interaction_experimental,0,stimulus_plus_physio,4,1,3,0,-2,0.005035714743086284,0.0010360982468198277,0.02103838931055879,-0.0029677268318533123
valence,emg_lagged_interaction_experimental,4,stimulus_only,4,4,0,0,4,-0.04497553915826613,-0.04750252666654897,-0.01817358241416711,-0.06672352088579947
valence,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.14089037484873201,0.14478246153067398,0.1494261776205208,0.1245703987130593
valence,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_plus_physio,4,0,4,0,-4,0.15454025206133998,0.14921176853976892,0.1975968684652678,0.12214060270055427
valence,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,1,3,0,-2,0.010384526503650016,0.0015530042473549388,0.041136807731907865,-0.0027047102120176802
valence,emg_lagged_interaction_experimental,4,stimulus_plus_physio,4,4,0,0,4,-0.03882874451040619,-0.04280893171259481,-0.020992834553226203,-0.04870428006320893
valence,emg_lagged_interaction_experimental,16,stimulus_only,4,3,1,0,2,-0.02563368674896027,-0.036278755020770825,0.017476743949933704,-0.04745398090423314
valence,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,4,0,4,0,-4,0.018852110951290746,0.019228231391074213,0.022936356563230342,0.014015624459784215
valence,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,4,0,4,0,-4,0.027136644217951866,0.022106344831527625,0.0485457299333949,0.015788157275357317
valence,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,1,3,0,-2,0.0077749219667074265,0.0012807820915801127,0.030867460038661587,-0.0023293363549921065
valence,emg_lagged_interaction_experimental,16,stimulus_plus_physio,4,3,1,0,2,-0.020026041794375338,-0.02720943775865836,0.014834225462535544,-0.04051951712272017
