target,k_calibration,model,locked_reference_model,subjects,candidate_rmse_pooled,locked_reference_rmse_pooled,pooled_lift_vs_locked_reference_rmse,lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,median_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pearson,spearman,ccc
valence,16,kernel_residual_shrink4,bias_shrink4,8,1.2515558454138052,1.2754789766585566,0.0239231312447514,0.0295992655572852,0.039425405572938305,-0.022545811618088996,-0.03010159564187413,0.12498791986788457,0.22778861056947153,3,5,0,-2,0.85546875,False,0.88340254489172,0.857032855511323,0.8792691026093346
valence,4,kernel_residual_shrink4,bias_shrink4,8,1.2835874895406374,1.302229267818113,0.0186417782774757,0.0056862115736138,0.02450876184380918,0.0026657018571164537,-0.007998387913956989,0.06667227936519762,0.18284085795710214,5,3,0,2,0.36328125,False,0.8770597028085957,0.8461271020112564,0.8733314274817444
valence,4,bias_shrink8,bias_shrink4,8,1.287037340487147,1.302229267818113,0.0151919273309661,0.0022363606271043,0.01457488495029352,0.01570435057647146,0.006921542677695236,0.021689087197482526,0.011749412529373532,7,1,0,6,0.03515625,False,0.8764096223203456,0.8449945715499765,0.8727604031261569
valence,4,bias_empirical_bayes,bias_shrink4,8,1.2871007141612412,1.302229267818113,0.0151285536568719,0.00217298695301,0.014407798209887107,0.01807462315906727,0.0028211886434374445,0.024109400944100245,0.027298635068246587,7,1,0,6,0.03515625,False,0.8763480448384902,0.8442011917932116,0.8725920991268302
valence,1,stimulus_only,bias_shrink4,8,1.2900671961718035,1.304540230869309,0.0144730346975054,0.0,0.01360126455583685,0.01871805752062461,-0.0007144960120107224,0.02796941595943571,0.06439678016099196,5,3,0,2,0.36328125,False,0.8758917823118239,0.8420002307618912,0.871686350470733
valence,2,kernel_residual_shrink4,bias_shrink4,8,1.2890375538504768,1.3033034079762973,0.0142658541258204,0.0055121143884111,0.016924087083557526,0.006608534419841217,-0.0015334254092235489,0.039943438718677386,0.11309434528273586,5,3,0,2,0.36328125,False,0.8758811802748872,0.8440679127210822,0.8716864953328889
valence,4,stimulus_only,bias_shrink4,8,1.2892737011142512,1.302229267818113,0.0129555667038618,0.0,0.011945158932379962,0.030874522569612983,-0.016086971600273392,0.03578484435884186,0.2103394830258487,5,3,0,2,0.36328125,False,0.8758127202282507,0.842085873370289,0.871814372884622
valence,1,bias_empirical_bayes,bias_shrink4,8,1.291608319491946,1.304540230869309,0.0129319113773631,-0.0015411233201423,0.01232083131595238,0.013662700254824078,0.003776164891888867,0.02049397961480859,0.024598770061496925,6,2,0,4,0.14453125,False,0.8756479837785425,0.8420640785858272,0.871520223841444
valence,1,bias_shrink8,bias_shrink4,8,1.2918263327625763,1.304540230869309,0.0127138981067325,-0.0017591365907729,0.012143246348599701,0.012335240914945422,0.005296889508759894,0.01898979619038715,0.014849257537123144,6,2,0,4,0.14453125,False,0.8756238197503067,0.8426250607327987,0.8715412192236365
valence,2,bias_shrink8,bias_shrink4,8,1.2909285799917267,1.3033034079762973,0.0123748279845705,0.0036210882471612,0.011742141434717634,0.01684441617467758,-0.00030741620972295615,0.021721905720619883,0.048047597620118995,6,2,0,4,0.14453125,False,0.8755887228596599,0.8426793981524332,0.8716215345017234
valence,2,bias_empirical_bayes,bias_shrink4,8,1.2922916494930308,1.3033034079762973,0.0110117584832665,0.0022580187458571,0.010308305188297784,0.018987931619123932,-0.006658044836382854,0.023739772059154868,0.12899355032248389,6,2,0,4,0.14453125,False,0.8752938122524032,0.84170660258921,0.8712669097964147
valence,8,bias_empirical_bayes,bias_shrink4,8,1.2918960337821987,1.3023793881117096,0.0104833543295108,0.0024717530879299,0.010682920829645087,0.014489228028049417,0.0004320083638232608,0.017011928737843296,0.03334833258337083,7,1,0,6,0.03515625,False,0.8758714378581702,0.8423243300148722,0.8716058457727973
valence,8,bias_shrink8,bias_shrink4,8,1.292055154540461,1.3023793881117096,0.0103242335712485,0.0023126323296676,0.010451857451723945,0.012092078840322151,0.00440456911430621,0.014508231089007506,0.007999600019999,7,1,0,6,0.03515625,False,0.8758670318655813,0.8429747155593813,0.8717357311566546
valence,2,stimulus_only,bias_shrink4,8,1.294549668238888,1.3033034079762973,0.0087537397374093,0.0,0.007996401523024804,0.02651560381447371,-0.021899488629437136,0.03199358874399427,0.3096345182740863,5,3,0,2,0.36328125,False,0.8747882925788383,0.8405160021283121,0.8706330720564891
valence,1,kernel_residual_shrink4,bias_shrink4,8,1.295848141048528,1.304540230869309,0.0086920898207809,-0.0057809448767245,0.009797966018852022,0.008087346179211252,0.003025407674603714,0.01792264193516993,0.019099045047747613,7,1,0,6,0.03515625,False,0.8748183066578947,0.8434180742164396,0.8706644943223862
valence,8,stimulus_only,bias_shrink4,8,1.2943677868701289,1.3023793881117096,0.0080116012415809,0.0,0.008531829949166264,0.025023474566279846,-0.020025509455135232,0.03181721664969685,0.3208839558022099,5,3,0,2,0.36328125,False,0.8750830283837974,0.8398596358298424,0.8706397938111792
valence,16,bias_empirical_bayes,bias_shrink4,8,1.2697688046056526,1.2754789766585566,0.005710172052904,0.0113863063654378,0.005943977918392407,0.007699064849229886,0.002360219514710604,0.009357152347584385,0.018299085045747714,6,2,0,4,0.14453125,False,0.8800371099771412,0.8502208187603887,0.8764247027135433
valence,16,bias_shrink8,bias_shrink4,8,1.2702492872827773,1.2754789766585566,0.0052296893757792,0.010905823688313,0.0054170712327176185,0.006479711359162366,0.0025711788661827994,0.008078395797920745,0.012749362531873407,7,1,0,6,0.03515625,False,0.8800512044167047,0.850872943713184,0.8765135365942316
valence,16,bias_shrink4,bias_shrink4,8,1.2754789766585566,1.2754789766585566,0.0,0.0056761343125337,0.0,0.0,0.0,0.0,1.0,0,0,8,0,,False,0.8791509849882421,0.8507968091445042,0.8757912021493622
