target,block,test_subject,k_calibration,repeat,alpha,calibration_n,eval_n,bias_raw,bias_shrink,physio_pred_std_eval
valence,emg_lagged_interaction_experimental,3,4,14,100.0,4,28,-0.7500000000000002,-0.3750000000000001,0.08389244266954925
valence,emg_lagged_interaction_experimental,3,4,15,100.0,4,28,0.6666666666666665,0.33333333333333326,0.07321627490569027
valence,emg_lagged_interaction_experimental,3,4,16,100.0,4,28,0.2499999999999999,0.12499999999999994,0.07965510432244713
valence,emg_lagged_interaction_experimental,3,4,17,100.0,4,28,0.75,0.375,0.08023477551386494
valence,emg_lagged_interaction_experimental,3,4,18,100.0,4,28,-1.1102230246251565e-16,-5.551115123125783e-17,0.06432191748658576
valence,emg_lagged_interaction_experimental,3,4,19,100.0,4,28,0.25,0.125,0.07313243025212675
valence,emg_lagged_interaction_experimental,3,16,0,100.0,16,16,0.4166666666666665,0.33333333333333326,0.08906193681816434
valence,emg_lagged_interaction_experimental,3,16,1,100.0,16,16,0.3333333333333331,0.2666666666666665,0.035255714799392816
valence,emg_lagged_interaction_experimental,3,16,2,100.0,16,16,0.08333333333333326,0.06666666666666661,0.08890246547375454
valence,emg_lagged_interaction_experimental,3,16,3,100.0,16,16,0.10416666666666663,0.08333333333333331,0.09784224551261952
valence,emg_lagged_interaction_experimental,3,16,4,100.0,16,16,-0.6250000000000001,-0.5000000000000001,0.05084874064984116
valence,emg_lagged_interaction_experimental,3,16,5,100.0,16,16,0.22916666666666652,0.18333333333333324,0.059532014942292426
valence,emg_lagged_interaction_experimental,3,16,6,100.0,16,16,0.2916666666666665,0.23333333333333323,0.04010222021119907
valence,emg_lagged_interaction_experimental,3,16,7,100.0,16,16,0.14583333333333318,0.11666666666666654,0.0844585331630459
valence,emg_lagged_interaction_experimental,3,16,8,100.0,16,16,0.16666666666666663,0.1333333333333333,0.0729128607854494
valence,emg_lagged_interaction_experimental,3,16,9,100.0,16,16,0.10416666666666653,0.08333333333333323,0.09978102162779241
valence,emg_lagged_interaction_experimental,3,16,10,100.0,16,16,-0.020833333333333398,-0.01666666666666672,0.07193059084415353
valence,emg_lagged_interaction_experimental,3,16,11,100.0,16,16,0.06249999999999983,0.04999999999999987,0.09160474497628811
valence,emg_lagged_interaction_experimental,3,16,12,100.0,16,16,0.18749999999999986,0.14999999999999988,0.08745536694329165
valence,emg_lagged_interaction_experimental,3,16,13,100.0,16,16,0.16666666666666657,0.13333333333333328,0.09232120796404508
valence,emg_lagged_interaction_experimental,3,16,14,100.0,16,16,0.33333333333333326,0.2666666666666666,0.04566017030155228
valence,emg_lagged_interaction_experimental,3,16,15,100.0,16,16,-0.08333333333333343,-0.06666666666666675,0.04592586158645419
valence,emg_lagged_interaction_experimental,3,16,16,100.0,16,16,-0.16666666666666677,-0.13333333333333341,0.0638932897839864
valence,emg_lagged_interaction_experimental,3,16,17,100.0,16,16,-0.4375000000000001,-0.3500000000000001,0.0886542480161084
valence,emg_lagged_interaction_experimental,3,16,18,100.0,16,16,0.31249999999999983,0.2499999999999999,0.08404330509258383
valence,emg_lagged_interaction_experimental,3,16,19,100.0,16,16,-0.16666666666666677,-0.13333333333333341,0.08844904553246191
valence,emg_lagged_interaction_experimental,5,0,0,1000.0,0,32,0.0,0.0,0.009678972832234756
valence,emg_lagged_interaction_experimental,5,4,0,1000.0,4,28,0.16666666666666657,0.08333333333333329,0.010023073856147055
valence,emg_lagged_interaction_experimental,5,4,1,1000.0,4,28,1.0,0.5,0.009756818229718725
valence,emg_lagged_interaction_experimental,5,4,2,1000.0,4,28,-0.8333333333333335,-0.41666666666666674,0.010053816004970288
valence,emg_lagged_interaction_experimental,5,4,3,1000.0,4,28,0.9166666666666665,0.45833333333333326,0.009903933769554027
valence,emg_lagged_interaction_experimental,5,4,4,1000.0,4,28,-0.08333333333333343,-0.04166666666666671,0.009873999075827308
valence,emg_lagged_interaction_experimental,5,4,5,1000.0,4,28,0.24999999999999978,0.12499999999999989,0.009897202988350794
valence,emg_lagged_interaction_experimental,5,4,6,1000.0,4,28,-1.083333333333333,-0.5416666666666665,0.009045388890678453
valence,emg_lagged_interaction_experimental,5,4,7,1000.0,4,28,-0.3333333333333335,-0.16666666666666674,0.009092721452446904
valence,emg_lagged_interaction_experimental,5,4,8,1000.0,4,28,1.6666666666666667,0.8333333333333334,0.00941193669036967
valence,emg_lagged_interaction_experimental,5,4,9,1000.0,4,28,-0.75,-0.375,0.009320017087837439
valence,emg_lagged_interaction_experimental,5,4,10,1000.0,4,28,0.4999999999999998,0.2499999999999999,0.009346904547051052
valence,emg_lagged_interaction_experimental,5,4,11,1000.0,4,28,0.1666666666666668,0.0833333333333334,0.009833698938321018
valence,emg_lagged_interaction_experimental,5,4,12,1000.0,4,28,1.5,0.75,0.010096352247463861
valence,emg_lagged_interaction_experimental,5,4,13,1000.0,4,28,0.5833333333333334,0.2916666666666667,0.009124928363815609
valence,emg_lagged_interaction_experimental,5,4,14,1000.0,4,28,0.0,0.0,0.009346289354207567
valence,emg_lagged_interaction_experimental,5,4,15,1000.0,4,28,1.3333333333333333,0.6666666666666666,0.00956413885849411
valence,emg_lagged_interaction_experimental,5,4,16,1000.0,4,28,0.16666666666666657,0.08333333333333329,0.009936377513303077
valence,emg_lagged_interaction_experimental,5,4,17,1000.0,4,28,1.25,0.625,0.00976015517527849
valence,emg_lagged_interaction_experimental,5,4,18,1000.0,4,28,0.6666666666666666,0.3333333333333333,0.010132386555596817
valence,emg_lagged_interaction_experimental,5,4,19,1000.0,4,28,0.2499999999999999,0.12499999999999994,0.010089476642211319
valence,emg_lagged_interaction_experimental,5,16,0,1000.0,16,16,0.2916666666666667,0.23333333333333336,0.01088533708381674
valence,emg_lagged_interaction_experimental,5,16,1,1000.0,16,16,0.5833333333333334,0.46666666666666673,0.008555458476607417
valence,emg_lagged_interaction_experimental,5,16,2,1000.0,16,16,0.75,0.6000000000000001,0.01019550382842606
valence,emg_lagged_interaction_experimental,5,16,3,1000.0,16,16,0.47916666666666663,0.3833333333333333,0.007766831686868288
valence,emg_lagged_interaction_experimental,5,16,4,1000.0,16,16,0.875,0.7000000000000001,0.010073703067721554
valence,emg_lagged_interaction_experimental,5,16,5,1000.0,16,16,1.0208333333333333,0.8166666666666667,0.009419842998097918
valence,emg_lagged_interaction_experimental,5,16,6,1000.0,16,16,0.3541666666666665,0.2833333333333332,0.009445675345337409
valence,emg_lagged_interaction_experimental,5,16,7,1000.0,16,16,0.3333333333333332,0.26666666666666655,0.01007419219816053
valence,emg_lagged_interaction_experimental,5,16,8,1000.0,16,16,0.8958333333333333,0.7166666666666667,0.009935980705178656
valence,emg_lagged_interaction_experimental,5,16,9,1000.0,16,16,1.0,0.8,0.00865008922564412
valence,emg_lagged_interaction_experimental,5,16,10,1000.0,16,16,0.8125,0.65,0.01018981490766398
valence,emg_lagged_interaction_experimental,5,16,11,1000.0,16,16,0.6249999999999999,0.49999999999999994,0.008081156710807594
valence,emg_lagged_interaction_experimental,5,16,12,1000.0,16,16,0.2916666666666667,0.23333333333333336,0.007879880057422696
valence,emg_lagged_interaction_experimental,5,16,13,1000.0,16,16,0.6875,0.55,0.010743195874378903
valence,emg_lagged_interaction_experimental,5,16,14,1000.0,16,16,0.7916666666666665,0.6333333333333333,0.010895640821924643
valence,emg_lagged_interaction_experimental,5,16,15,1000.0,16,16,0.3124999999999999,0.24999999999999992,0.010385695959928535
valence,emg_lagged_interaction_experimental,5,16,16,1000.0,16,16,0.6041666666666666,0.48333333333333334,0.008667506985209671
valence,emg_lagged_interaction_experimental,5,16,17,1000.0,16,16,0.7291666666666665,0.5833333333333333,0.010280706345208475
valence,emg_lagged_interaction_experimental,5,16,18,1000.0,16,16,0.4166666666666665,0.33333333333333326,0.011380987580518672
valence,emg_lagged_interaction_experimental,5,16,19,1000.0,16,16,0.33333333333333326,0.2666666666666666,0.010513684887319085
arousal,emg_lagged_interaction_experimental,1,0,0,1000.0,0,32,0.0,0.0,0.006602840575464705
arousal,emg_lagged_interaction_experimental,1,4,0,1000.0,4,28,-0.8333333333333335,-0.41666666666666674,0.006827264063800601
arousal,emg_lagged_interaction_experimental,1,4,1,1000.0,4,28,-1.0833333333333335,-0.5416666666666667,0.004267127480931049
arousal,emg_lagged_interaction_experimental,1,4,2,1000.0,4,28,0.5,0.25,0.006298880932849034
arousal,emg_lagged_interaction_experimental,1,4,3,1000.0,4,28,-0.5833333333333335,-0.29166666666666674,0.006938589383684326
