target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
valence,global_mean,46,32,2.526083669354839,2.876297607905061,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,47,32,2.7555128528225805,3.16002038356527,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,48,32,2.035723286290323,2.4251007561678106,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,49,32,1.0023941532258065,1.3119420392483176,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,50,32,3.068012852822581,3.2669907903984052,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,52,32,1.776272681451613,2.0755886821975333,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,53,32,2.322265625,2.671875,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,54,32,2.079983618951613,2.393984554754553,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,55,32,1.4856350806451615,1.9574142548072462,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,56,32,2.5,2.709120498358469,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,57,32,2.512852822580645,2.880749973258478,,,0.0,0.4375,0.5,0.30434782608695654,0.5
valence,global_mean,58,32,1.935546875,2.2679406269785813,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,59,32,1.943264868951613,2.298166074633847,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,60,32,2.591009324596774,3.0240249028917905,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,61,32,3.095734627016129,3.350225680000697,,,0.0,0.40625,0.5,0.28888888888888886,0.5
valence,global_mean,62,32,2.3432144657258065,2.689413780954496,,,0.0,0.4375,0.5,0.30434782608695654,0.5
valence,global_mean,63,32,2.2720514112903225,2.7474040155295683,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,64,32,1.6761592741935485,2.2350768169498094,,,0.0,0.71875,0.5,0.41818181818181815,0.5
valence,global_mean,65,32,2.26691658266129,2.7056681186979734,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,stimulus_only,1,32,0.994959677419355,1.204586059790768,0.8922484634653424,0.8852213172599906,0.8696574444021503,0.84375,0.8583333333333334,0.8398398398398399,0.9166666666666666
valence,stimulus_only,2,32,1.2086693548387097,1.5487178326209212,0.8530610427473126,0.8036062294190673,0.8155188676443323,0.8125,0.8178137651821862,0.8095238095238095,0.9048582995951417
valence,stimulus_only,3,32,1.0554435483870968,1.1964804330363776,0.8980289713149183,0.8938103224205145,0.8791629847348005,0.90625,0.925,0.9039039039039038,0.9770833333333333
valence,stimulus_only,5,32,1.2268145161290325,1.4945269559497258,0.8646215886593648,0.8429278417012366,0.8302088014852527,0.84375,0.84375,0.8435972629521017,0.97265625
valence,stimulus_only,6,32,1.045866935483871,1.1570929690036986,0.9562877492680013,0.9488688459347856,0.9046669303375,0.875,0.8745098039215686,0.8745098039215686,0.984313725490196
valence,stimulus_only,7,32,0.6224798387096775,0.7714954244234683,0.9432491857811657,0.9453048098417813,0.9293617423621148,0.90625,0.925,0.9039039039039038,0.9958333333333333
valence,stimulus_only,8,32,0.830141129032258,1.0246974566824736,0.9426106711880112,0.9277093877462874,0.9135909924133964,0.96875,0.96875,0.9687194525904204,1.0
valence,stimulus_only,9,32,0.9334677419354838,1.1748826518327367,0.9116655521799997,0.8672483250928812,0.8810468249308884,0.78125,0.8083333333333333,0.7793103448275862,0.9708333333333333
valence,stimulus_only,10,32,0.7928427419354838,1.0004185843498665,0.9107396566122342,0.9024685704478604,0.9061770169472151,0.90625,0.925,0.9039039039039038,0.9708333333333333
valence,stimulus_only,11,32,1.206149193548387,1.4491157957492957,0.913970533877195,0.8917297264444277,0.8562630044965631,0.90625,0.9087301587301587,0.9054187192118226,0.9563492063492064
valence,stimulus_only,12,32,0.9526209677419355,1.1831362535147223,0.8509681823754512,0.8642873619265344,0.8349318830868163,0.96875,0.9722222222222222,0.9684729064039409,0.9563492063492064
valence,stimulus_only,13,32,0.8724798387096774,1.0503664627335452,0.9094177817342244,0.9217409851300047,0.8684386106711681,0.875,0.9047619047619048,0.8704453441295547,0.961038961038961
valence,stimulus_only,14,32,0.752016129032258,0.8964680958217212,0.9288122352606669,0.9113516159009858,0.9189134487437577,0.9375,0.9473684210526316,0.9365079365079365,0.9655870445344129
valence,stimulus_only,15,32,0.856350806451613,1.1124100414937979,0.869677592471072,0.8593470389204451,0.8442346656842881,0.84375,0.8863636363636364,0.8358974358974359,0.9136363636363637
valence,stimulus_only,16,32,0.7721774193548387,1.0159129954676442,0.904095529804977,0.8539668556320058,0.885105083227183,0.875,0.8825910931174089,0.873015873015873,0.9048582995951417
valence,stimulus_only,17,32,1.0090725806451613,1.1960522994491878,0.8972372737605019,0.8924429060909542,0.8781456770203968,0.90625,0.9087301587301587,0.9054187192118226,0.9583333333333334
valence,stimulus_only,18,32,1.4475806451612905,1.8032716105902833,0.7911350468931307,0.792449445668865,0.7528726906301207,0.875,0.8825910931174089,0.873015873015873,0.9210526315789473
valence,stimulus_only,19,32,1.028225806451613,1.3182709089508333,0.8114687737086331,0.8097518048241787,0.804830082943654,0.84375,0.8452380952380952,0.8423645320197044,0.9563492063492064
valence,stimulus_only,20,32,0.7580645161290323,1.0229465993184748,0.9210161615627016,0.9032779543088524,0.9010250015330521,0.875,0.9047619047619048,0.8704453441295547,0.935064935064935
valence,stimulus_only,21,32,0.8966733870967741,1.0523150671354522,0.9488592363701719,0.9378847772238772,0.9143113263926022,0.9375,0.9473684210526316,0.9365079365079365,0.9959514170040485
