epoch,train_loss,val_rmse_scaled,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.43585902236161694,,final,2,arousal,,,,-7.162729191130042e-18,1.9288502402018097
1,0.4416896435949538,1.0967101016579384,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
2,0.4333858765937664,1.1205323490047707,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
3,0.4211357108972691,1.1465521487522792,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
4,0.4107198734526281,1.1702396271314441,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
5,0.38447796139452195,1.1827004021820686,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
6,0.3732584770079012,1.259164616018717,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
7,0.3394717463740596,1.3793323132805337,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
8,0.30893134629284896,1.4093548294549934,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
9,0.284053569038709,1.2678977233465818,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,True,,
1,0.4413159061824122,,final,3,arousal,,,,2.865091676452017e-17,1.9459122563827091
1,0.4351464283687097,1.1534513233684147,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
2,0.42871496108946977,1.1760470074307294,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
3,0.4078840883793654,1.172526404732885,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
4,0.39853207435872817,1.2002626647626946,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
5,0.37719716876745224,1.160340672157831,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
6,0.3532306596084877,1.2048010448582758,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
7,0.32792567240971104,1.2411951366913112,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
8,0.3000346002755342,1.2656990685884069,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
9,0.28469047916156276,1.2771994934516921,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,True,,
1,0.43891305692734256,,final,5,arousal,,,,-7.162729191130042e-18,1.9474092830945495
1,0.4457777680622207,0.9404883940639621,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
2,0.42735036793682313,0.9373245921313804,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
3,0.4159299968569367,0.9399737975648829,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
4,0.40877959739278863,0.9527329226137318,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
5,0.3760435222475617,0.9535019691602808,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
6,0.3588164528762853,1.0066911198760644,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
7,0.33902212811840904,1.0118638055973317,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
8,0.3111863900665884,0.9979231618195434,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
9,0.279633226218047,1.0272900607741027,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
10,0.2505393053094546,1.0267591956624498,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,True,,
1,0.43735230353570753,,final,6,arousal,,,,1.7906822977825105e-17,1.9011711549146475
2,0.4236928190915815,,final,6,arousal,,,,1.7906822977825105e-17,1.9011711549146475
1,0.44217192464404637,0.9215731814809554,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
2,0.4255937437216441,0.917745231138699,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
3,0.4040230465707956,0.9472322194420343,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
4,0.39714058074686265,0.9447861539408863,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
5,0.3687518495652411,0.9704997411702676,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
6,0.3492265354703974,1.0117672899763925,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
7,0.31959472927782273,1.0299114356781733,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
8,0.2871310757818045,1.1260105168521743,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
9,0.2548101795492349,1.0933237321741687,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
10,0.23200839771716683,1.0814178731009496,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,True,,
1,0.44759079597650037,,final,7,arousal,,,,7.162729191130042e-18,1.949252022010084
2,0.426614242695993,,final,7,arousal,,,,7.162729191130042e-18,1.949252022010084
