target,k_calibration,model,subject_id,ref_rmse,model_rmse,rmse_improvement,rmse_worse_than_stimulus,ref_residual_rmse,model_residual_rmse,residual_rmse_improvement,residual_worse_than_stimulus,is_best_candidate
valence,16,stimulus_plus_fewshot_bias_shrink4,11,1.4491157957492955,1.494165050488378,-0.04504925473908261,True,1.4491157957492955,1.494165050488378,-0.04504925473908261,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,63,1.1374506141295837,1.180675820100342,-0.043225205970758296,True,1.1374506141295837,1.180675820100342,-0.043225205970758296,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,38,1.6108025634891396,1.653306516519256,-0.04250395303011634,True,1.6108025634891396,1.653306516519256,-0.04250395303011634,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,60,1.2498666682272448,1.2886230352096957,-0.038756366982450885,True,1.2498666682272448,1.2886230352096957,-0.038756366982450885,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,30,0.9805105223786827,1.017901316216435,-0.037390793837752234,True,0.9805105223786827,1.017901316216435,-0.037390793837752234,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,19,1.318270908950833,1.3554072251902065,-0.03713631623937341,True,1.318270908950833,1.3554072251902065,-0.03713631623937341,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,59,1.3881015443772842,1.4232548028624277,-0.0351532584851435,True,1.3881015443772842,1.4232548028624277,-0.0351532584851435,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,65,0.960189785968401,0.9938379687044068,-0.03364818273600578,True,0.960189785968401,0.9938379687044068,-0.03364818273600578,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,21,1.0523150671354522,1.0831948931327386,-0.030879825997286448,True,1.0523150671354522,1.0831948931327386,-0.030879825997286448,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,3,1.1964804330363776,1.225958592266955,-0.029478159230577283,True,1.1964804330363776,1.225958592266955,-0.029478159230577283,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,41,1.5324278343980433,1.5600210819760345,-0.027593247577991198,True,1.5324278343980433,1.5600210819760345,-0.027593247577991198,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,45,0.9413358052974866,0.9685423554779826,-0.027206550180496003,True,0.9413358052974866,0.9685423554779824,-0.02720655018049578,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,23,1.045968830053902,1.0725762763675275,-0.026607446313625438,True,1.045968830053902,1.0725762763675275,-0.026607446313625438,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,26,1.5439152284274675,1.5691234205928704,-0.02520819216540282,True,1.5439152284274675,1.5691234205928704,-0.02520819216540282,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,37,1.226078333600619,1.2498880139742867,-0.02380968037366782,True,1.226078333600619,1.2498880139742867,-0.02380968037366782,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,56,1.0985109884654758,1.1209791032726637,-0.02246811480718791,True,1.0985109884654758,1.1209791032726637,-0.02246811480718791,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,33,0.8017706893454289,0.8215792756505362,-0.01980858630510729,True,0.8017706893454289,0.8215792756505362,-0.01980858630510729,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,42,1.0730391028443886,1.0925850500401697,-0.019545947195781066,True,1.0730391028443886,1.0925850500401697,-0.019545947195781066,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,39,1.1755363588632064,1.1939889621136888,-0.01845260325048237,True,1.1755363588632064,1.1939889621136888,-0.01845260325048237,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,17,1.1960522994491878,1.21192936892599,-0.01587706947680223,True,1.1960522994491878,1.21192936892599,-0.01587706947680223,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,15,1.112410041493798,1.1262068376550824,-0.013796796161284375,True,1.112410041493798,1.1262068376550824,-0.013796796161284375,True,True
valence,16,stimulus_plus_fewshot_bias_shrink4,12,1.1831362535147223,1.1927617728562567,-0.009625519341534439,True,1.1831362535147223,1.1927617728562567,-0.009625519341534439,True,True
