target,k_calibration,model,subject_id,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_rmse,residual_mae
arousal,0,stimulus_only,55,32,2.25,2.4616497908979853,0.7950465863012915,0.699520481830936,0.34712249631746184,2.09375,1.2338804388999771,4.34375,1.6421315273475328,-2.25,0.9986088789050975,2.4616497908979853,2.25
arousal,0,stimulus_only,56,32,1.2288306451612905,1.4504419560416728,0.8656702754372579,0.8419496149200265,0.7678782819017453,4.84375,2.4762544169571914,4.299395161290322,1.6233028513427243,0.5443548387096774,1.3444179697621401,1.4504419560416728,1.2288306451612905
arousal,0,stimulus_only,57,32,1.836693548387097,2.166632480586249,0.3731227757768021,0.39690353106472104,0.35969927479984926,4.40625,2.1485369295173866,4.306451612903226,1.6447560380061694,0.09979838709677427,2.1643328274237774,2.166632480586249,1.836693548387097
arousal,0,stimulus_only,58,32,1.3074596774193548,1.5841130079171235,0.8988644335320037,0.8513851569095515,0.731492646727828,3.21875,2.3416657399167797,4.325604838709678,1.6239662800079988,-1.1068548387096775,1.133263600349544,1.5841130079171235,1.3074596774193548
arousal,0,stimulus_only,59,32,1.5524193548387097,2.058506247467732,0.6592880734724359,0.6739317607458565,0.5240910421031152,5.53125,2.1648379702647493,4.288306451612904,1.6347698682421274,1.2429435483870965,1.6408958852975946,2.058506247467732,1.5524193548387097
arousal,0,stimulus_only,60,32,2.089717741935484,2.415655774314542,0.8284694603679771,0.8607821590605765,0.5948220996377501,5.53125,3.201409601644251,4.288306451612903,1.6149671774160346,1.2429435483870968,2.0713483906629713,2.415655774314542,2.089717741935484
arousal,0,stimulus_only,61,32,1.611391129032258,1.8649160854374134,0.8895476149988314,0.882083862391182,0.7059631820797484,3.4375,2.9040650388722358,4.322076612903226,1.6161936415387985,-0.8845766129032258,1.641778371653087,1.8649160854374134,1.611391129032258
arousal,0,stimulus_only,62,32,1.742439516129032,2.092926447829683,0.7970900544626541,0.7038059936815464,0.6461839486641452,3.9375,3.1017887984193897,4.314012096774193,1.6178451727453453,-0.3765120967741936,2.058781133828381,2.092926447829683,1.742439516129032
arousal,0,stimulus_only,63,32,1.8578629032258065,2.1826475464845023,0.7844496410078389,0.7571117581327045,0.6292722366340426,4.03125,3.1867339765816665,4.3125,1.6173715826514223,-0.28125,2.1644511428246234,2.1826475464845023,1.8578629032258065
arousal,0,stimulus_only,64,32,1.2545362903225805,1.5094466023232982,0.7671576636270417,0.7722275080855436,0.7188677773762615,4.4375,2.3310070248714396,4.305947580645161,1.6289797798507877,0.13155241935483863,1.5037030977647274,1.5094466023232982,1.2545362903225805
arousal,0,stimulus_only,65,32,1.908266129032258,2.0286826907965585,0.9102085544158178,0.8628904041766321,0.6868309922540706,3.28125,3.0744346533143294,4.324596774193548,1.6127356263728783,-1.0433467741935485,1.7398221083540357,2.0286826907965585,1.908266129032258
arousal,0,stimulus_plus_fewshot_bias,1,32,1.5544354838709677,1.8757326005488377,0.6396747039031424,0.6336280762871853,0.591079851242668,4.40625,2.4348944407304396,4.306451612903226,1.6326014875239936,0.09979838709677412,1.8730758315387523,1.8757326005488377,1.5544354838709677
arousal,0,stimulus_plus_fewshot_bias,2,32,2.326108870967742,2.7325131631493744,0.7271361956690021,0.7829385631311458,0.42266217010456714,6.5,2.3048861143232218,4.272681451612903,1.6307697904686218,2.2273185483870965,1.5829340702617387,2.7325131631493744,2.326108870967742
arousal,0,stimulus_plus_fewshot_bias,3,32,1.645665322580645,1.8533457350509737,0.6357247908214484,0.6344455352961016,0.4801594393110361,3.0625,1.5194057226429023,4.328125,1.64231059042618,-1.265625,1.353914241378173,1.8533457350509737,1.645665322580645
arousal,0,stimulus_plus_fewshot_bias,5,32,1.4047379032258065,1.7548362080449436,0.6946450633141555,0.7385488473019087,0.6057032951047436,5.1875,2.0832291640623697,4.293850806451613,1.634481336683944,0.893649193548387,1.5102454224184472,1.7548362080449436,1.4047379032258065
arousal,0,stimulus_plus_fewshot_bias,6,32,3.337701612903226,3.7325121194933057,0.3170827001100329,0.38138344258506085,0.09466720235279265,7.53125,1.39159025488827,4.256048387096774,1.6507443513068545,3.2752016129032255,1.790167901902087,3.7325121194933057,3.337701612903226
arousal,0,stimulus_plus_fewshot_bias,7,32,1.3487903225806452,1.6252851346734933,0.664034725547573,0.6860438597275036,0.42976028247690273,3.28125,0.909477013178453,4.324596774193548,1.6482209352998989,-1.0433467741935485,1.2461858921407156,1.6252851346734933,1.3487903225806452
arousal,0,stimulus_plus_fewshot_bias,8,32,1.7182459677419355,1.9187893074403857,0.7647247061481831,0.7852355977697068,0.6275582319326556,3.3125,2.4929588343973914,4.324092741935484,1.6270466548631377,-1.0115927419354838,1.630470033705313,1.9187893074403857,1.7182459677419355
arousal,0,stimulus_plus_fewshot_bias,9,32,1.6965725806451613,2.170411362822948,0.4570923493746102,0.46956461195453625,0.38491407323313337,5.34375,1.96229099205495,4.29133064516129,1.643292035292091,1.0524193548387095,1.898183074793325,2.170411362822948,1.6965725806451613
arousal,0,stimulus_plus_fewshot_bias,10,32,1.4380040322580645,1.7173703785641625,0.7545455569743079,0.6583096352466759,0.681165922336731,4.1875,2.567069097239106,4.309979838709678,1.6265338073463327,-0.12247983870967742,1.7129972872947774,1.7173703785641625,1.4380040322580645
arousal,0,stimulus_plus_fewshot_bias,11,32,1.6718749999999998,2.026535642212376,0.4276580639736072,0.4359750912602661,0.3926659461331032,5.0,1.8874586088176875,4.296875,1.6447504002176132,0.703125,1.9006477694544373,2.026535642212376,1.6718749999999998
arousal,0,stimulus_plus_fewshot_bias,12,32,1.0922379032258065,1.3301654805004859,0.6670130773110609,0.6063847547898518,0.5895021197479596,4.8125,1.1575161985907585,4.299899193548387,1.6454867017620436,0.5126008064516129,1.2274284576871453,1.3301654805004859,1.0922379032258065
arousal,0,stimulus_plus_fewshot_bias,13,32,2.081149193548387,2.4172453841383996,0.555088672893651,0.4724337435465743,0.28013380840659313,2.375,1.243734296383275,4.33921370967742,1.6467787568605616,-1.9642137096774195,1.4088788982214433,2.4172453841383996,2.081149193548387
arousal,0,stimulus_plus_fewshot_bias,14,32,1.610383064516129,1.7966571854818605,0.8654060605055738,0.8158786083038903,0.5896991565968757,2.75,1.6393596310755,4.333165322580645,1.6350625440259345,-1.5831653225806452,0.8494495885699882,1.7966571854818605,1.610383064516129
arousal,0,stimulus_plus_fewshot_bias,15,32,1.4349798387096775,1.6951581251313257,0.6843964811202883,0.6838954529864433,0.6327118970324376,3.8125,2.214123697989794,4.316028225806451,1.6333525202781025,-0.5035282258064515,1.6186477056527646,1.6951581251313257,1.4349798387096775
arousal,0,stimulus_plus_fewshot_bias,16,32,1.1154233870967742,1.3937183709424947,0.8490714537900502,0.7851188280071603,0.7766475824489384,4.0625,2.4486922530199666,4.311995967741936,1.6243325360925709,-0.2494959677419355,1.371204820434612,1.3937183709424947,1.1154233870967742
