target,k_calibration,model,rmse,residual_rmse,lift_vs_stimulus_rmse,lift_vs_stimulus_residual_rmse,pearson,ccc,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric
arousal,8,stimulus_plus_fewshot_bias_shrink4,1.835906898053928,1.835906898053928,0.5779926730665823,0.5779926730665823,0.6682932799495251,0.6179026886811352,8.0,0.5407329253946179,0.5981715475160687,0.20094159570507536,0.8894496362608504,0.026794641071785644,6.0,2.0,0.0,4.0,0.14453125,True
arousal,16,stimulus_only,2.402525111890676,2.402525111890676,0.0,0.0,0.3227878540646357,0.2704400801532331,8.0,0.0041840896985312626,0.002654931043323261,-0.014325237604474244,0.022297429851785015,0.33473305338932213,4.0,4.0,0.0,0.0,0.63671875,False
arousal,16,stimulus_plus_fewshot_bias,1.7516664236906534,1.7516664236906534,0.6508586882000227,0.6508586882000227,0.7148390182054318,0.7020610243695086,8.0,0.632777814664877,0.6948098798420234,0.24741912019452011,1.0478999594432399,0.033193361327734455,5.0,3.0,0.0,2.0,0.36328125,False
arousal,16,stimulus_plus_fewshot_bias_shrink4,1.762086487169488,1.762086487169488,0.6404386247211882,0.6404386247211882,0.7020376257179879,0.6667452385761672,8.0,0.6173275087160099,0.6947302867802022,0.23995364771229896,1.011072982031436,0.027394521095780843,6.0,2.0,0.0,4.0,0.14453125,True
valence,0,stimulus_only,1.2899236648827286,1.2899236648827286,0.0,0.0,0.8760178069121297,0.8719698633546693,,,,,,,,,,,,
valence,0,stimulus_plus_fewshot_bias,1.2899236648827286,1.2899236648827286,0.0,0.0,0.8760178069121297,0.8719698633546693,,,,,,,,,,,,
valence,0,stimulus_plus_fewshot_bias_shrink4,1.2899236648827286,1.2899236648827286,0.0,0.0,0.8760178069121297,0.8719698633546693,,,,,,,,,,,,
valence,1,stimulus_only,1.288328116237814,1.288328116237814,0.0,0.0,0.8763604467059027,0.8722383513285012,8.0,0.0014298725613435814,0.0011796603043017218,-0.00035482807925775873,0.003263600536959408,0.10537892421515697,5.0,3.0,0.0,2.0,0.36328125,False
valence,1,stimulus_plus_fewshot_bias,1.820564989097067,1.820564989097067,-0.532236872859253,-0.532236872859253,0.7773023303998854,0.7757613200381721,8.0,-0.5248160494886207,-0.5257200639167665,-0.581837799790014,-0.4657972037353162,1.0,0.0,8.0,0.0,-8.0,1.0,False
valence,1,stimulus_plus_fewshot_bias_shrink4,1.3054096186820934,1.3054096186820934,-0.0170815024442794,-0.0170815024442794,0.8732328138808453,0.8695439652659185,8.0,-0.01588895551415201,-0.02195398899119838,-0.024383233644818782,-0.0066921585915168166,0.9796040791841631,2.0,6.0,0.0,-4.0,0.96484375,False
valence,2,stimulus_only,1.2893902477079444,1.2893902477079444,0.0,0.0,0.8760992221543004,0.8721230993142107,8.0,0.0009149162271440692,-0.0008597154047230715,-0.0033789992664133815,0.005643497206086734,0.36272745450909816,3.0,5.0,0.0,-2.0,0.85546875,False
valence,2,stimulus_plus_fewshot_bias,1.537111767255073,1.5371117672550731,-0.2477215195471285,-0.2477215195471287,0.8296976155609239,0.829334268877638,8.0,-0.24711487641956997,-0.2513237687441041,-0.29173771210884264,-0.2015687007422732,1.0,0.0,8.0,0.0,-8.0,1.0,False
valence,2,stimulus_plus_fewshot_bias_shrink4,1.3048177342939091,1.3048177342939091,-0.0154274865859649,-0.0154274865859649,0.8733010229737004,0.86992176800416,8.0,-0.015153931225977357,-0.02395594871084028,-0.030359989920046754,0.0017918281880462423,0.9424115176964607,3.0,5.0,0.0,-2.0,0.85546875,False
valence,4,stimulus_only,1.2920203910782906,1.2920203910782906,0.0,0.0,0.875450595623426,0.8715159786962541,8.0,-0.0018985988375031515,-0.0027108923826798526,-0.006684975557876331,0.0025395054216834634,0.75124975004999,3.0,5.0,0.0,-2.0,0.85546875,False
valence,4,stimulus_plus_fewshot_bias,1.3919880530363464,1.3919880530363464,-0.0999676619580558,-0.0999676619580558,0.8569689255447687,0.855284538715286,8.0,-0.10156540081464524,-0.09851348617400124,-0.132858505720274,-0.07077125332222975,1.0,0.0,8.0,0.0,-8.0,1.0,False
valence,4,stimulus_plus_fewshot_bias_shrink4,1.3035629979459,1.3035629979459,-0.0115426068676094,-0.0115426068676094,0.8734571023481963,0.8701516995461522,8.0,-0.013652596109383436,-0.027634804096943077,-0.03504209329286473,0.011364835686935304,0.8472305538892222,3.0,5.0,0.0,-2.0,0.85546875,False
valence,8,stimulus_only,1.288689513911441,1.288689513911441,0.0,0.0,0.87648590770717,0.8723652174826708,8.0,0.0015117451763976275,-0.0011512520235172907,-0.0071748178347209035,0.010911898056941833,0.40251949610077986,4.0,4.0,0.0,0.0,0.63671875,False
valence,8,stimulus_plus_fewshot_bias,1.3348011226358014,1.3348011226358014,-0.0461116087243604,-0.0461116087243604,0.8681318966248516,0.8655639027897122,8.0,-0.04377686499470437,-0.048169977919401696,-0.07610093046095656,-0.012442993638377526,0.9748050389922016,3.0,5.0,0.0,-2.0,0.85546875,False
valence,8,stimulus_plus_fewshot_bias_shrink4,1.295204311753043,1.295204311753043,-0.006514797841602,-0.006514797841602,0.8754800260630142,0.8720278860358652,8.0,-0.004822576395530576,-0.009270098717977238,-0.031071164074672086,0.022979041415624235,0.6246750649870026,3.0,5.0,0.0,-2.0,0.85546875,False
valence,16,stimulus_only,1.2929262017862064,1.2929262017862064,0.0,0.0,0.8756190320739434,0.8711658690133588,8.0,-0.0037699616314266493,-0.012716957848106891,-0.016816290146487767,0.012196777618755747,0.6756648670265947,2.0,6.0,0.0,-4.0,0.96484375,False
valence,16,stimulus_plus_fewshot_bias,1.294166784389217,1.294166784389217,-0.0012405826030106,-0.0012405826030106,0.8757812419679603,0.8723302543596341,8.0,-0.004982633399579189,0.004468957079308167,-0.04035425550325005,0.03174399228681461,0.586882623475305,4.0,4.0,0.0,0.0,0.63671875,False
valence,16,stimulus_plus_fewshot_bias_shrink4,1.2838485470789516,1.2838485470789516,0.0090776547072548,0.0090776547072548,0.8776558013322621,0.8738323016818372,8.0,0.005147884014679693,0.013279081877131005,-0.026163727659838102,0.036469376777424255,0.39172165566886624,4.0,4.0,0.0,0.0,0.63671875,False
