test_subject,oracle_test_checkpoint_rmse,clean_gaussian10_rmse,stimulus_only_oracle_file_rmse,delta_oracle_minus_clean_rmse,delta_oracle_minus_stimulus_rmse,oracle_test_checkpoint_mae,clean_gaussian10_mae,stimulus_only_oracle_file_mae,delta_oracle_minus_clean_mae,delta_oracle_minus_stimulus_mae,oracle_test_checkpoint_accuracy,clean_gaussian10_accuracy,stimulus_only_oracle_file_accuracy,delta_oracle_minus_clean_accuracy,delta_oracle_minus_stimulus_accuracy,oracle_test_checkpoint_balanced_accuracy,clean_gaussian10_balanced_accuracy,stimulus_only_oracle_file_balanced_accuracy,delta_oracle_minus_clean_balanced_accuracy,delta_oracle_minus_stimulus_balanced_accuracy,oracle_test_checkpoint_macro_f1,clean_gaussian10_macro_f1,stimulus_only_oracle_file_macro_f1,delta_oracle_minus_clean_macro_f1,delta_oracle_minus_stimulus_macro_f1,oracle_test_checkpoint_mcc,clean_gaussian10_mcc,stimulus_only_oracle_file_mcc,delta_oracle_minus_clean_mcc,delta_oracle_minus_stimulus_mcc,oracle_test_checkpoint_auroc,clean_gaussian10_auroc,stimulus_only_oracle_file_auroc,delta_oracle_minus_clean_auroc,delta_oracle_minus_stimulus_auroc,oracle_test_checkpoint_dev_pearson,clean_gaussian10_dev_pearson,stimulus_only_oracle_file_dev_pearson,delta_oracle_minus_clean_dev_pearson,oracle_test_checkpoint_pred_dev_std,clean_gaussian10_pred_dev_std,stimulus_only_oracle_file_pred_dev_std,delta_oracle_minus_clean_pred_dev_std,delta_oracle_minus_stimulus_pred_dev_std,failure_score
6,3.440776666668472,3.778845112591574,3.7325121194933057,-0.3380684459231018,-0.2917354528248337,3.0243398941482154,3.381458464452637,3.337701612903226,-0.35711857030442173,-0.3133617187550106,0.34375,0.375,0.375,-0.03125,-0.03125,0.41666666666666663,0.6666666666666666,0.6666666666666666,-0.25,-0.25,0.2873806998939554,0.3333333333333333,0.3333333333333333,-0.04595263343937789,-0.04595263343937789,-0.0849411985729376,0.17407765595569785,0.17407765595569785,-0.25901885452863543,-0.25901885452863543,0.5333333333333333,0.5,0.5,0.033333333333333326,0.033333333333333326,-0.012882038676530748,0.0818795137810304,,-0.09476155245756114,0.8402001615337994,0.14872856043862673,0.0,0.6914716010951727,0.8402001615337994,0.04595263343937789
15,1.6697639550596575,1.7036616810230985,1.6951581251313257,-0.03389772596344098,-0.02539417007166822,1.3762910646288034,1.4577588145545284,1.4349798387096775,-0.08146774992572503,-0.05868877408087414,0.71875,0.75,0.75,-0.03125,-0.03125,0.6590909090909092,0.7090909090909091,0.7090909090909091,-0.04999999999999993,-0.04999999999999993,0.6631578947368422,0.7090909090909091,0.7090909090909091,-0.04593301435406694,-0.04593301435406694,0.3280209083173944,0.41818181818181815,0.41818181818181815,-0.09016090986442377,-0.09016090986442377,0.7909090909090909,0.7772727272727273,0.7818181818181819,0.013636363636363558,0.009090909090909038,0.06736515519926659,-0.08909641177925204,,0.15646156697851862,0.5313328327962495,0.08935269344362047,0.0,0.4419801393526291,0.5313328327962495,0.04593301435406694
16,1.3240017047817743,1.3625050536053003,1.3937183709424947,-0.03850334882352602,-0.06971666616072048,1.0472877153462727,1.0742309470894686,1.1154233870967742,-0.026943231743195906,-0.0681356717505015,0.875,0.90625,0.90625,-0.03125,-0.03125,0.8454106280193237,0.9009661835748792,0.9009661835748792,-0.05555555555555558,-0.05555555555555558,0.8454106280193237,0.887719298245614,0.887719298245614,-0.04230867022629037,-0.04230867022629037,0.6908212560386473,0.777878154009821,0.777878154009821,-0.08705689797117366,-0.08705689797117366,0.961352657004831,0.9371980676328503,0.9371980676328503,0.024154589371980673,0.024154589371980673,0.2821516687846481,0.1184455641792114,,0.1637061046054367,0.5089490303587902,0.1871981753875531,0.0,0.3217508549712371,0.5089490303587902,0.04230867022629037
56,1.4841572926607778,1.4906910865769958,1.4504419560416728,-0.006533793916218,0.033715336619104974,1.2352631033848969,1.2430797898698103,1.2288306451612903,-0.007816686484913404,0.0064324582236066075,0.875,0.875,0.875,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,0.7644707871564383,0.7644707871564383,0.7644707871564383,0.0,0.0,0.9722222222222222,0.9722222222222222,0.9662698412698413,0.0,0.005952380952380931,0.00493234738131395,-0.06838928405421975,,0.0733216314355337,0.14363608869908792,0.08582683598632736,0.0,0.057809252712760564,0.14363608869908792,0.033715336619104974
47,2.4386000875823,2.464586832397346,2.441804445284562,-0.025986744815045704,-0.0032043577022617953,2.004277289694728,1.978954447725027,2.0151209677419355,0.025322841969700915,-0.01084367804720765,0.8125,0.8125,0.84375,0.0,-0.03125,0.803921568627451,0.803921568627451,0.8333333333333333,0.0,-0.02941176470588225,0.8056680161943319,0.8056680161943319,0.8358974358974359,0.0,-0.030229419703104,0.6386392673039035,0.6386392673039035,0.7177405625652734,0.0,-0.07910129526136989,0.7647058823529411,0.7764705882352941,0.7784313725490196,-0.01176470588235301,-0.013725490196078494,0.03626664840115434,-0.033635038173855644,,0.06990168657500997,0.26307595079608953,0.46928438219907015,0.0,-0.20620843140298062,0.26307595079608953,0.030229419703104
48,1.3341531094858319,1.4301274403949227,1.3047018848475165,-0.0959743309090908,0.0294512246383154,1.0910899815504111,1.1879190132921127,1.0493951612903225,-0.09682903174170154,0.04169482026008864,0.84375,0.84375,0.84375,0.0,0.0,0.8160173160173161,0.8160173160173161,0.8160173160173161,0.0,0.0,0.82281284606866,0.82281284606866,0.82281284606866,0.0,0.0,0.6476427756840265,0.6476427756840265,0.6476427756840265,0.0,0.0,0.922077922077922,0.9090909090909092,0.9393939393939394,0.01298701298701288,-0.017316017316017396,0.05914932629084706,-0.07758115169885366,,0.13673047798970073,0.3279294890986982,0.4850963728082192,0.0,-0.15716688370952103,0.3279294890986982,0.0294512246383154
53,1.1378159241719799,1.178208349935856,1.1178085559441453,-0.04039242576387614,0.020007368227834554,0.9473413863385738,0.9667819984187842,0.8991935483870968,-0.019440612080210418,0.048147837951477035,0.9375,0.96875,0.9375,-0.03125,0.0,0.9272727272727272,0.9772727272727273,0.9272727272727272,-0.050000000000000044,0.0,0.9272727272727272,0.964562569213732,0.9272727272727272,-0.03728984194100471,0.0,0.8545454545454545,0.9315409787235999,0.8545454545454545,-0.07699552417814537,0.0,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.0,0.0,-0.14695323352600098,-0.11709426808490225,,-0.029858965441098728,0.25552039739402005,0.2951470677754802,0.0,-0.03962667038146017,0.25552039739402005,0.020007368227834554
42,2.433518135760527,2.60635049069771,2.6523340250498326,-0.17283235493718285,-0.2188158892893055,1.9452326596374234,2.1991094213661198,2.253024193548387,-0.25387676172869633,-0.3077915339109636,0.625,0.625,0.625,0.0,0.0,0.7,0.7272727272727273,0.7272727272727273,-0.027272727272727337,-0.027272727272727337,0.6235294117647059,0.625,0.625,-0.0014705882352941124,-0.0014705882352941124,0.38297084310253526,0.45454545454545453,0.45454545454545453,-0.07157461144291927,-0.07157461144291927,0.8045454545454546,0.8454545454545455,0.8454545454545455,-0.040909090909090895,-0.040909090909090895,-0.07246780997262234,-0.28562045120977547,,0.21315264123715313,0.9435555627511494,0.062225257930781694,0.0,0.8813303048203677,0.9435555627511494,0.0014705882352941124
45,1.468973229007416,1.46782868168204,1.5219490856302587,0.0011445473253759442,-0.052975856622842654,1.105852309325492,1.101885871681234,1.142641129032258,0.003966437644257859,-0.03678881970676606,0.8125,0.78125,0.78125,0.03125,0.03125,0.7922077922077921,0.7467532467532467,0.7467532467532467,0.045454545454545414,0.045454545454545414,0.7922077922077921,0.751937984496124,0.751937984496124,0.040269807711668104,0.040269807711668104,0.5844155844155844,0.5056936741642399,0.5056936741642399,0.07872191025134445,0.07872191025134445,0.7662337662337663,0.7489177489177489,0.7792207792207793,0.017316017316017396,-0.012987012987012991,0.12435363445542735,0.2383167576840623,,-0.11396312322863494,0.33595668349656943,0.3188651667449164,0.0,0.017091516751653046,0.33595668349656943,0.0011445473253759442
13,1.9079208810682815,2.5000306957716427,2.4172453841383996,-0.5921098147033612,-0.5093245030701181,1.585346690572461,2.1540823740961086,2.081149193548387,-0.5687356835236477,-0.4958025029759261,0.71875,0.6875,0.6875,0.03125,0.03125,0.71875,0.6875,0.6875,0.03125,0.03125,0.41818181818181815,0.4074074074074074,0.4074074074074074,0.01077441077441077,0.01077441077441077,0.0,0.0,0.0,0.0,0.0,,,,,,0.05366768180360762,-0.054980566295684354,,0.10864824809929197,0.37128525718850286,0.1384914828528087,0.0,0.23279377433569415,0.37128525718850286,0.0
