target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_mae,residual_rmse,residual_pearson,residual_spearman,residual_ccc,residual_y_true_mean,residual_y_true_std,residual_y_pred_mean,residual_y_pred_std,residual_residual_mean,residual_residual_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_residual_mae,lift_vs_stimulus_residual_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc
valence,1,stimulus_plus_fewshot_bias_shrink4,390600,1.0181792279867201,1.2669744938518324,0.864299218698322,0.8529640055816241,0.8568344763384228,4.9116077828981055,2.5182102621716793,4.90937617891416,2.2070294336563845,0.0022316039839452794,1.2669725285162128,1.0181792279867201,1.2669744938518324,0.06329984299822376,0.06328413734564209,0.024339580330926387,0.00030994499777014714,1.2577837714565505,-0.0019216589861751196,0.25148467620394416,0.002231603983945275,1.2669725285162128,0.003975851873874836,-0.009190684206722644,0.003975851873874836,-0.009190684206722644,-0.002040146187743841,0.011620310376560972,-0.0012732953766634303
valence,2,stimulus_only,378000,1.0218815924219151,1.257453354215383,0.8663500717962388,0.8414820519393911,0.8581547584102205,4.910687830687831,2.5176303322473514,4.9102034050179215,2.1929020690943344,0.0004844256699095226,1.257453260904471,1.0218815924219151,1.257453354215383,,,0.0,0.0004844256699095226,1.257453260904471,0.0,0.0,0.0004844256699095226,1.257453260904471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valence,2,stimulus_plus_fewshot_bias,378000,1.1803083290663934,1.4939840346714168,0.8152448737565301,0.8149799527996323,0.8139215448796634,4.910687830687831,2.5176303322473514,4.902937019969278,2.3783092838242093,0.0077508107185526535,1.4939639288772304,1.1803083290663934,1.4939840346714168,0.08702526295799384,0.08917738241351023,0.08303590250639316,0.0004844256699095226,1.257453260904471,-0.0072663850486431245,0.9235029776857798,0.007750810718552654,1.4939639288772304,-0.15842673664447826,-0.23653068045603387,-0.15842673664447826,-0.23653068045603387,-0.0511051980397087,-0.02650209913975876,-0.04423321353055709
valence,2,stimulus_plus_fewshot_bias_shrink4,378000,1.0160595522557887,1.2683005872002289,0.8639776440324993,0.8539469205592061,0.8568908765582657,4.910687830687831,2.5176303322473514,4.9077812766683735,2.214002573440579,0.0029065540194572245,1.2682972567328912,1.0160595522557887,1.2683005872002289,0.08702526295799401,0.08917815068674714,0.040199515115369185,0.0004844256699095226,1.257453260904471,-0.0024221283495477115,0.30783432589525994,0.0029065540194572266,1.2682972567328912,0.005822040166126419,-0.010847232984845911,0.005822040166126419,-0.010847232984845911,-0.002372427763739471,0.012464868619814995,-0.0012638818519548067
valence,4,stimulus_only,352800,1.0222880092897375,1.258215352491748,0.8662110250959163,0.841180794989517,0.8580139734729926,4.908492063492064,2.5179310232196817,4.910720183234584,2.193113880822714,-0.0022281197425206936,1.2582133796492339,1.0222880092897375,1.258215352491748,,,0.0,-0.0022281197425206936,1.2582133796492339,0.0,0.0,-0.0022281197425206936,1.2582133796492339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valence,4,stimulus_plus_fewshot_bias,352800,1.0770974370931168,1.361331921425289,0.8440417539762937,0.838821780879223,0.8404788594308591,4.908492063492064,2.5179310232196817,4.926317021432229,2.297200217472758,-0.017824957940165313,1.3612152185330213,1.0770974370931168,1.361331921425289,0.11712072831518378,0.11700354147827619,0.09853267872497978,-0.0022281197425206936,1.2582133796492339,0.015596838197644618,0.687290433955451,-0.017824957940165313,1.3612152185330213,-0.054809427803379274,-0.10311656893354093,-0.054809427803379274,-0.10311656893354093,-0.022169271119622636,-0.0023590141102940443,-0.01753511404213348
valence,4,stimulus_plus_fewshot_bias_shrink4,352800,1.0106714944042132,1.2649159601635964,0.86482477034037,0.8555531220388239,0.8579713986283323,4.908492063492064,2.5179310232196817,4.918518602333406,2.219312197856671,-0.010026538841343005,1.2648762211360667,1.0106714944042132,1.2649159601635964,0.11712072831518378,0.11700354147827619,0.0595318153812699,-0.0022281197425206936,1.2582133796492339,0.007798419098822309,0.3436452169777255,-0.010026538841343005,1.2648762211360667,0.011616514885524287,-0.006700607671848324,0.011616514885524287,-0.006700607671848324,-0.0013862547555463234,0.01437232704930691,-4.257484466030359e-05
valence,8,stimulus_only,302400,1.0223908196791263,1.2583358727797729,0.8661707413000348,0.8411225004386721,0.8579942333720214,4.909718915343915,2.51781498827283,4.910165290578597,2.1933817416157786,-0.0004463752346817179,1.2583357936074069,1.0223908196791263,1.2583358727797729,,,0.0,-0.0004463752346817179,1.2583357936074069,0.0,0.0,-0.0004463752346817179,1.2583357936074069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valence,8,stimulus_plus_fewshot_bias,302400,1.0250415626600102,1.2923010639949146,0.8590357019228587,0.8526083403810168,0.8539017594692635,4.909718915343915,2.51781498827283,4.911504416282642,2.2564478596160873,-0.001785500938726747,1.2922998305303557,1.0250415626600102,1.2923010639949146,0.14906725038723556,0.14849159101501286,0.10757270790025673,-0.0004463752346817179,1.2583357936074069,0.0013391257040450274,0.5365965483672303,-0.0017855009387267484,1.2922998305303557,-0.002650742980883969,-0.03396519121514174,-0.002650742980883969,-0.03396519121514174,-0.007135039377176078,0.011485839942344755,-0.004092473902757909
valence,8,stimulus_plus_fewshot_bias_shrink4,302400,1.001710953945497,1.2558575842928597,0.8668598978037443,0.8586853939604157,0.860097631571544,4.909718915343915,2.51781498827283,4.91105804104796,2.2212669142960655,-0.0013391257040450725,1.2558568703352488,1.001710953945497,1.2558575842928597,0.1490672503872355,0.1484913933664945,0.0784184724423136,-0.0004463752346817179,1.2583357936074069,0.0008927504693633546,0.35773103224482017,-0.0013391257040450682,1.2558568703352488,0.020679865733629343,0.002478288486913227,0.020679865733629343,0.002478288486913227,0.0006891565037094871,0.01756289352174356,0.0021033981995225437
valence,16,stimulus_only,201600,1.0221438172043011,1.256590313996532,0.8667495380891578,0.8417282500286557,0.8585340808776963,4.909464285714286,2.5194240867474496,4.909887192780338,2.1941597205389622,-0.0004229070660522578,1.256590242831575,1.0221438172043011,1.256590313996532,,,0.0,-0.0004229070660522578,1.256590242831575,0.0,0.0,-0.0004229070660522578,1.256590242831575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valence,16,stimulus_plus_fewshot_bias,201600,0.9968017753136201,1.2536685310437972,0.867641597676001,0.8612848904610736,0.8615403372248834,4.909464285714286,2.5194240867474496,4.91031009984639,2.2368978769990018,-0.000845814132104458,1.2536682457205202,0.9968017753136201,1.2536685310437972,0.1816832497087269,0.17999111365153975,0.11332388729399842,-0.0004229070660522578,1.256590242831575,0.00042290706605219007,0.43992975395120737,-0.0008458141321044583,1.2536682457205202,0.02534204189068101,0.0029217829527348194,0.02534204189068101,0.0029217829527348194,0.0008920595868432413,0.019556640432417893,0.0030062563471870973
valence,16,stimulus_plus_fewshot_bias_shrink4,201600,0.9910193292370711,1.2418476288448907,0.8701577170244134,0.8629696713277065,0.8633101348471538,4.909464285714286,2.5194240867474496,4.9102255184331804,2.2214569443046575,-0.0007612327188940167,1.2418473955331328,0.9910193292370711,1.2418476288448907,0.18168324970872732,0.17999104294015494,0.09436844767804264,-0.0004229070660522578,1.256590242831575,0.00033832565284175613,0.3519438031609659,-0.0007612327188940178,1.2418473955331326,0.031124487967229997,0.014742685151641233,0.031124487967229997,0.014742685151641233,0.003408178935255579,0.021241421299050822,0.004776053969457461
