epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
11,0.2661476180918755,0.783832557761879,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.22457663967244088,0.7453564033432826,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.2084818043776097,0.8033932253962484,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.18118763390567996,0.8514907308698433,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.16081206921127536,0.7988059797927509,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
16,0.16963574158087855,0.7693436534401855,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
17,0.15845841109271971,0.7290792863579181,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
18,0.13561898391814,0.7685495972095451,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
19,0.12965080586652603,0.8208691384314004,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
20,0.11027554302446303,0.8006050605015828,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
21,0.10626782182483904,0.8088326161704379,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
22,0.11436946792227606,0.7920955400460173,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
23,0.09715637877102822,0.8581191195729261,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
24,0.09857548520930352,0.7837056718226161,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
25,0.09154163463221442,0.7661759744412775,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
26,0.08537888166404539,0.7731991882535003,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
27,0.07478435974447958,0.7892243554423682,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.4380555537439162,0.8809825270936683,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4266029937613395,0.8876271742350256,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.40822362010517427,0.8241346586513099,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.3965836395659754,0.9160512611258462,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.37528486165308184,0.8879391016895515,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3608599249874392,0.8537705799912946,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
