target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,3,3.108191877353243,1.313560151238015,1.794631726115228,-1.794631726115228
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,30,2.467741935483871,2.7475730641020206,-0.2798311286181496,0.2798311286181496
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,31,3.312745930483647,3.2122248571662193,0.10052107331742777,-0.10052107331742777
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,32,2.362816065037091,2.9169660625968064,-0.5541499975597155,0.5541499975597155
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,33,2.9890974279743703,2.4813299509629125,0.5077674770114577,-0.5077674770114577
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,34,2.3030465880094124,2.413169959245483,-0.11012337123607052,0.11012337123607052
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,35,3.0611186599954467,2.852716607151051,0.20840205284439595,-0.20840205284439595
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,36,2.7350863222989212,2.3724774437487848,0.36260887855013646,-0.36260887855013646
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,37,3.14414789298227,2.8766056333232313,0.2675422596590389,-0.2675422596590389
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,38,2.6995394065069838,2.536446821258701,0.16309258524828296,-0.16309258524828296
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,39,3.051462009499944,3.090904523074334,-0.039442513574390325,0.039442513574390325
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,40,3.7988861232843716,4.014273343564564,-0.21538722028019208,0.21538722028019208
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,41,3.6109835160373875,3.9410151886342266,-0.3300316725968391,0.3300316725968391
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,42,3.685245633578947,3.8811652390504463,-0.19591960547149911,0.19591960547149911
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,43,2.7786910280461976,3.1810416523773988,-0.40235062433120117,0.40235062433120117
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,44,3.665941340298544,3.695126652751228,-0.029185312452683743,0.029185312452683743
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,45,3.072434591397889,2.383842861599171,0.6885917297987181,-0.6885917297987181
