dataset,repetition,role,task,label_policy,anchor_occurrences,outer_cells,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,worst_cell_min_donors,cells_with_zero_donor_anchors,operational_verdict
I-DARE,1,sensitivity,valence,midpoint_as_high,18144,16,353,357.0,393.0,594.0,657.0,708,0.0,0.0,0.0,0.0,46,46.0,16,20.0,353,0,PASS_STRONG
I-DARE,1,sensitivity,valence,midpoint_as_low,18144,16,397,404.0,416.0,575.0,621.0,672,0.0,0.0,0.0,0.0,46,46.0,14,22.0,397,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,discard_midpoint,16191,16,236,254.0,325.0,542.0,646.0,691,0.0,0.0,0.0,0.0,40,46.0,22,23.0,236,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,midpoint_as_high,18144,16,354,376.0,442.0,535.0,644.0,691,0.0,0.0,0.0,0.0,44,46.0,22,23.0,354,0,PASS_STRONG
I-DARE,2,sensitivity,arousal,midpoint_as_low,18144,16,236,256.0,340.0,661.0,765.0,814,0.0,0.0,0.0,0.0,40,46.0,22,23.0,236,0,PASS_STRONG
I-DARE,2,sensitivity,valence,discard_midpoint,15003,16,314,320.0,343.0,444.0,477.0,524,0.0,0.0,0.0,0.0,46,46.0,13,18.0,314,0,PASS_STRONG
I-DARE,2,sensitivity,valence,midpoint_as_high,18144,16,314,321.0,382.0,563.0,693.0,760,0.0,0.0,0.0,0.0,46,46.0,16,21.0,314,0,PASS_STRONG
I-DARE,2,sensitivity,valence,midpoint_as_low,18144,16,336,342.0,436.0,557.0,673.0,724,0.0,0.0,0.0,0.0,46,46.0,13,22.0,336,0,PASS_STRONG
I-DARE,3,sensitivity,arousal,discard_midpoint,16191,16,249,276.0,329.0,542.0,623.0,718,0.0,0.0,0.0,0.0,41,46.0,22,23.0,249,0,PASS_STRONG
I-DARE,3,sensitivity,arousal,midpoint_as_high,18144,16,352,382.0,439.0,531.0,621.0,718,0.0,0.0,0.0,0.0,44,46.0,23,23.0,352,0,PASS_STRONG
I-DARE,3,sensitivity,arousal,midpoint_as_low,18144,16,249,277.0,333.0,664.0,743.0,820,0.0,0.0,0.0,0.0,41,46.0,22,23.0,249,0,PASS_STRONG
I-DARE,3,sensitivity,valence,discard_midpoint,15003,16,303,311.0,340.0,441.0,503.0,549,0.0,0.0,0.0,0.0,46,46.0,13,18.0,303,0,PASS_STRONG
I-DARE,3,sensitivity,valence,midpoint_as_high,18144,16,303,311.0,387.0,568.0,704.0,765,0.0,0.0,0.0,0.0,46,46.0,16,21.0,303,0,PASS_STRONG
I-DARE,3,sensitivity,valence,midpoint_as_low,18144,16,330,341.0,414.0,532.0,668.0,735,0.0,0.0,0.0,0.0,46,46.0,13,22.0,330,0,PASS_STRONG
I-DARE,4,sensitivity,arousal,discard_midpoint,16191,16,283,297.0,321.0,522.0,616.0,651,0.0,0.0,0.0,0.0,40,46.0,22,23.0,283,0,PASS_STRONG
I-DARE,4,sensitivity,arousal,midpoint_as_high,18144,16,394,409.0,432.0,533.0,615.0,651,0.0,0.0,0.0,0.0,44,46.0,22,23.0,394,0,PASS_STRONG
I-DARE,4,sensitivity,arousal,midpoint_as_low,18144,16,283,298.0,323.0,694.0,730.0,767,0.0,0.0,0.0,0.0,40,46.0,22,23.0,283,0,PASS_STRONG
I-DARE,4,sensitivity,valence,discard_midpoint,15003,16,342,347.0,361.0,433.0,486.0,535,0.0,0.0,0.0,0.0,46,46.0,13,16.0,342,0,PASS_STRONG
I-DARE,4,sensitivity,valence,midpoint_as_high,18144,16,352,358.0,376.0,548.0,659.0,720,0.0,0.0,0.0,0.0,46,46.0,15,21.0,352,0,PASS_STRONG
I-DARE,4,sensitivity,valence,midpoint_as_low,18144,16,342,348.0,421.0,555.0,667.0,724,0.0,0.0,0.0,0.0,46,46.0,13,22.0,342,0,PASS_STRONG
