repetition,role,task,label_policy,region,aggregation,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std
1,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,812,1204,0.5972222222222222,0.5,0.3739130434782609,0.42180007528271934,0.24414023388456932,0.6816319029892859,0.5,0.0
1,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,812,1204,0.5530753968253969,0.5109548631000115,0.5035062308544489,0.5301391707444807,0.2832200882373768,0.8171245114505673,0.5088925587047248,0.10513493389783689
1,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,812,1204,0.7088293650793651,0.6712252262573033,0.6746998980440904,0.6476456761533803,0.2207299993978899,0.6439793938586528,0.6858782298883561,0.11026609357305273
1,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1161,855,0.5758928571428571,0.5,0.3654390934844193,0.4466723081030166,0.2459334274061013,0.685046848792586,0.5,0.0
1,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1161,855,0.5218253968253969,0.5150188131828279,0.514478039109093,0.5415688230049716,0.29122098959106846,0.8525309821554814,0.5299555232278093,0.17232747540813642
1,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1161,855,0.6284722222222222,0.6217915590008614,0.6212175601386207,0.6388156005863065,0.2285815474614619,0.6515424769658469,0.6395783381676141,0.12739677680904693
2,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1799,1112,687,0.6181211784324625,0.5,0.38199931295087597,0.332704360529044,0.2524536045440667,0.7007542080946935,0.5,0.0
2,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1799,1112,687,0.6536964980544747,0.5824621961819192,0.570961768953884,0.5346831704941724,0.25461247512173646,0.7254615322628706,0.6003267821420618,0.08147671237129762
2,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1799,1112,687,0.6559199555308505,0.5898239923345167,0.5825978256184206,0.5955979757678574,0.2304478307525691,0.6597572884334649,0.6271885646005022,0.05424808344252492
2,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1112,904,0.5257936507936508,0.48013624498631186,0.3742935505319149,0.3677580059845928,0.25879922904842795,0.7112909783608583,0.5,0.0
2,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1112,904,0.5575396825396826,0.5361224294900363,0.5246886626582326,0.539400724995225,0.26473584351116525,0.7366812970707802,0.5580395693492921,0.06295062946914487
2,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1112,904,0.6051587301587301,0.5777360412554912,0.5584008453680873,0.6243116126567773,0.23566733772949183,0.6647965595365823,0.6031504830879888,0.04988344101645228
2,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1329,687,0.6592261904761905,0.5,0.39730941704035877,0.33449266885938245,0.2388648457430079,0.6742231563499762,0.5,0.0
2,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1329,687,0.6845238095238095,0.5750884698413951,0.5633528265107213,0.5231538526411711,0.24193402557942525,0.6965933365214957,0.5849014725147641,0.08197834071800417
2,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1329,687,0.7023809523809523,0.6033988190877996,0.6015889014051106,0.5630652239866905,0.2233215909450057,0.6464376828999545,0.6302055863859561,0.06310998790862184
2,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1667,812,855,0.3869226154769046,0.38069239189928844,0.3455784288418517,0.3289243223000029,0.270113913770742,0.7336864280675867,0.5,0.0
2,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1667,812,855,0.4943011397720456,0.4925863509348083,0.4911103345506823,0.42108215942154237,0.37785444574671845,1.1506449689952383,0.5593029829056889,0.09581106883304527
