summary_type,repetition,role,task,policy,region,baseline,n,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std,cell_roc_auc_mean,cell_count
pooled_physical_trials,3,sensitivity,arousal,discard_midpoint,primary_test,order_bin_prior,1263,0.5494853523357086,0.47708699846773733,0.38852343939451955,0.41118938663062155,0.2535688507750037,0.7010921227810337,0.49064492495755485,0.020337780884218976,0.4747342267221465,16
pooled_physical_trials,3,sensitivity,arousal,discard_midpoint,primary_test,order_quadratic_logistic,1263,0.5748218527315915,0.4947144677579954,0.3783793692241279,0.39679540424390314,0.2516914009596696,0.6970408168345565,0.49847522832260294,0.008218813068809732,0.4779580247726781,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_high,primary_test,global_train_prior,1280,0.5890625,0.5,0.37069813176007865,0.3967231797964721,0.2486921296296296,0.6909381428084556,0.5,0.0,0.5,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_high,primary_test,order_bin_prior,1280,0.5625,0.4832023882764672,0.3904761904761905,0.4194423152565279,0.2515659388855419,0.697090497588387,0.4925327194913763,0.01989956396943577,0.4876849581031629,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_high,primary_test,order_quadratic_logistic,1280,0.58359375,0.4976576131355206,0.3820508152338821,0.3986860949460923,0.2499247308177078,0.6935006352477856,0.5008630266622778,0.007015859533610604,0.4680146459103849,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_low,primary_test,global_train_prior,1280,0.57578125,0.5,0.3653941497273178,0.38795350220269825,0.2523187934027778,0.6982038360290542,0.5,0.0,0.5,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_low,primary_test,order_bin_prior,1280,0.53359375,0.470151752538163,0.3863504409883471,0.4030225567291619,0.25555200429792535,0.7049843803855783,0.4894002913517846,0.03154138399536079,0.47398479603140226,16
pooled_physical_trials,3,sensitivity,arousal,midpoint_as_low,primary_test,order_quadratic_logistic,1280,0.55078125,0.4814413617497645,0.3748720653598435,0.39733527240742544,0.25344216961667054,0.7005136109203162,0.49093945868160804,0.0198550052999263,0.486197089675793,16
pooled_physical_trials,3,sensitivity,valence,discard_midpoint,primary_test,global_train_prior,1264,0.560126582278481,0.5,0.359026369168357,0.4072724870950697,0.2518771757292487,0.6971150170225388,0.5,0.0,0.5,16
pooled_physical_trials,3,sensitivity,valence,discard_midpoint,primary_test,order_bin_prior,1264,0.5213607594936709,0.4727319839044019,0.39202119244049366,0.43551599398447344,0.25386245150125475,0.7012233115169259,0.4854407055305203,0.038019666316646085,0.48203371878352996,16
pooled_physical_trials,3,sensitivity,valence,discard_midpoint,primary_test,order_quadratic_logistic,1264,0.560126582278481,0.5,0.359026369168357,0.4079037617363736,0.2527843002240533,0.6989931205922374,0.5,0.0,0.47697858149031214,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_high,primary_test,global_train_prior,1280,0.565625,0.5,0.36127744510978044,0.4056003815731945,0.25124276620370367,0.6958775742814944,0.5,0.0,0.5,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_high,primary_test,order_bin_prior,1280,0.53984375,0.48242676576970467,0.3858180606573096,0.43464937994355896,0.2531269068026002,0.6997945873901739,0.48905842823443035,0.03181915139221215,0.48074452624933217,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_high,primary_test,order_quadratic_logistic,1280,0.565625,0.5,0.36127744510978044,0.40739149012281883,0.2521029048725486,0.6976664236836936,0.5,0.0,0.47515786431418483,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_low,primary_test,global_train_prior,1280,0.553125,0.5,0.3561368209255533,0.40982181660147765,0.25229190779320987,0.6978930616144693,0.5,0.0,0.5,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_low,primary_test,order_bin_prior,1280,0.5046875,0.46612144917229664,0.403125588401431,0.4373012227885109,0.25432919427677525,0.7020829362508102,0.4834182403579288,0.0374436518159685,0.48801641491178527,16
pooled_physical_trials,3,sensitivity,valence,midpoint_as_low,primary_test,order_quadratic_logistic,1280,0.55234375,0.5008049859744775,0.3697230937397684,0.4122478862944965,0.25322249333756697,0.6998077378712337,0.5035708248816768,0.014283299526707234,0.482578331776406,16
pooled_physical_trials,4,sensitivity,arousal,discard_midpoint,primary_test,global_train_prior,1263,0.5835312747426762,0.5,0.3685,0.4451184279088484,0.2454072359217224,0.6840629117801715,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,arousal,discard_midpoint,primary_test,order_bin_prior,1263,0.5661124307205068,0.4891567912253458,0.3852944729045139,0.44001991425520176,0.24931783578416672,0.6920909397785558,0.4915241626746163,0.015564136224109588,0.45893621930174444,16
pooled_physical_trials,4,sensitivity,arousal,discard_midpoint,primary_test,order_quadratic_logistic,1263,0.5811559778305622,0.49905329900789863,0.3744673918844145,0.4583167811134442,0.24622088590738742,0.6857277551160069,0.4989696226542156,0.005804130086741422,0.4995102138891161,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_high,primary_test,global_train_prior,1280,0.5890625,0.5,0.37069813176007865,0.44573932688525575,0.24445722415123455,0.6821682894678534,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_high,primary_test,order_bin_prior,1280,0.57578125,0.4916011941382336,0.3818080584464619,0.4415739629454065,0.24819036629384,0.6898689822223124,0.4934968704124647,0.014182655271114774,0.46154468010242233,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_high,primary_test,order_quadratic_logistic,1280,0.58828125,0.4996243103952557,0.37215131436272747,0.4529782856451271,0.24530594929755128,0.6839171048477777,0.4996426715176715,0.006057472489294969,0.49305244785362534,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_low,primary_test,global_train_prior,1280,0.57578125,0.5,0.3653941497273178,0.4458258681479594,0.2465086082175926,0.6862467362582325,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_low,primary_test,order_bin_prior,1280,0.54609375,0.4800370323170686,0.3877156164297847,0.441356752150848,0.250475189857625,0.6943433898522751,0.4834616820946872,0.02408244894510697,0.4607278715380908,16
pooled_physical_trials,4,sensitivity,arousal,midpoint_as_low,primary_test,order_quadratic_logistic,1280,0.56953125,0.49651166567963795,0.3758755290784058,0.46537528330222316,0.24718451721311271,0.6876173880642249,0.4974311085938993,0.008738594488284856,0.5071689867513219,16
pooled_physical_trials,4,sensitivity,valence,discard_midpoint,primary_test,global_train_prior,1264,0.560126582278481,0.5,0.359026369168357,0.38204055399747994,0.2547659406887674,0.7029235079592085,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,valence,discard_midpoint,primary_test,order_bin_prior,1264,0.5102848101265823,0.4661270983213429,0.4034057939519822,0.415343149209446,0.25712287147236573,0.707960893308962,0.49988009471355926,0.03453741221014296,0.49537220932542125,16
pooled_physical_trials,4,sensitivity,valence,discard_midpoint,primary_test,order_quadratic_logistic,1264,0.5356012658227848,0.4810033329268788,0.37072667241687846,0.394899758159574,0.25485298711391297,0.7031140099682067,0.5004864518287243,0.005004692315519321,0.5023309396848492,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_high,primary_test,global_train_prior,1280,0.565625,0.5,0.36127744510978044,0.3817520569180015,0.2540704571759259,0.7015782762450884,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_high,primary_test,order_bin_prior,1280,0.52890625,0.47755773281926944,0.40665985567775875,0.4152378373544259,0.2561642508490867,0.7061164759946822,0.5053178351574175,0.029905454607852103,0.492090649532273,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_high,primary_test,order_quadratic_logistic,1280,0.54375,0.4823323661512779,0.3643537414965986,0.3946698994395644,0.25411258285019145,0.7016795388884267,0.4947152717860224,0.02113891285591027,0.5065648341734841,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_low,primary_test,global_train_prior,1280,0.521875,0.4751096361265853,0.3702974881352008,0.38503022401327486,0.2551036844135802,0.7035321242253594,0.5,0.0,0.5,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_low,primary_test,order_bin_prior,1280,0.49921875,0.4633607917506223,0.41115636494123975,0.4166111078187349,0.25761311195622383,0.7088164552910717,0.5016017864797626,0.0331242516777634,0.49442251542423593,16
pooled_physical_trials,4,sensitivity,valence,midpoint_as_low,primary_test,order_quadratic_logistic,1280,0.51015625,0.46703508356050727,0.38193823540963456,0.39714081822132663,0.2552655729213689,0.7038727155377051,0.5007155341216543,0.021476387285448952,0.499257798638733,16
macro_outer_cells_overlapping_regions,0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,3789,0.5835120775334939,0.5,0.3681336673144267,0.5,0.2432253075575683,0.6795467163660256,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,3789,0.61883958146455,0.5794306596336402,0.5685777117646085,0.6479550473115796,0.22754761724406164,0.6468110141562171,0.5794306596336402,0.02253351096967832,0.6479550473115796,16
macro_outer_cells_overlapping_regions,0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,3789,0.5834581631846839,0.5,0.3672940967404108,0.5,0.2465597050883349,0.6864059832708369,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,3789,0.6660783349049825,0.6451184665578544,0.6363382323911433,0.6844144942430449,0.22198455386988108,0.6366226846115728,0.6451184665578544,0.03334489094364346,0.6844144942430449,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,3840,0.5890625,0.5,0.370350273577079,0.5,0.24227961033950618,0.6776385978194139,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,3840,0.6213541666666667,0.5738425649146555,0.5572194880176448,0.6450239174444822,0.22767397447077736,0.6471507471250689,0.5738425649146555,0.029404952203099896,0.6450239174444822,16
macro_outer_cells_overlapping_regions,0,primary,arousal,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,3840,0.5890625,0.5,0.36955362461274366,0.5,0.24547839506172842,0.6842523964261478,0.5,0.0,0.5,16
