repetition,role,cell_id,subject_fold,stimulus_fold,task,label_policy,region,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,fit_uses_target_subject_labels,fit_uses_target_stimulus_labels,fit_uses_eeg_or_emg
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,primary_test,order_quadratic_logistic,116,66,50,0.6982758620689655,0.6984848484848485,0.6955380577427821,0.8983333333333333,0.17855509743075829,0.5395565380156728,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,317,188,129,0.4069400630914827,0.5,0.289237668161435,0.5,0.26096420560726125,0.7151471656403592,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,317,188,129,0.47318611987381703,0.5205756226290615,0.45974548163569384,0.528142008906482,0.26201939629592014,0.7176882321329122,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,309,139,170,0.5501618122977346,0.5,0.35490605427974947,0.5,0.24749361946570025,0.6881261270009487,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,309,139,170,0.948220064724919,0.948349555649598,0.947759932375317,0.9801523487092678,0.047227939285331796,0.20185088613733282,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,primary_test,global_train_prior,128,78,50,0.609375,0.5,0.3786407766990291,0.5,0.2413960722549167,0.6758876766046504,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,primary_test,order_bin_prior,128,78,50,0.65625,0.6641025641025641,0.6520879663948604,0.7051282051282051,0.22374534083561703,0.6455846680435873,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,primary_test,order_quadratic_logistic,128,78,50,0.78125,0.7666666666666666,0.7685352622061483,0.8651282051282052,0.19098957097044733,0.5657317926361363,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,376,247,129,0.6569148936170213,0.5,0.39646869983948635,0.5,0.2365072179467833,0.666075279811567,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,376,247,129,0.6356382978723404,0.5282459278787308,0.5089184422517756,0.5617644289614915,0.2340739902419396,0.66093396596829,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,384,214,170,0.5572916666666666,0.5,0.35785953177257523,0.5,0.24675215972536582,0.6866378549094273,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,384,214,170,0.859375,0.8641561297416163,0.8589119015866968,0.9422210005497527,0.09992680389432829,0.33019924651561444,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_high,primary_test,global_train_prior,128,66,62,0.484375,0.5,0.3263157894736842,0.5,0.2705411652457119,0.7355567183091527,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_high,primary_test,order_bin_prior,128,66,62,0.71875,0.7267839687194526,0.7024024799793336,0.7795698924731183,0.2378476040453525,0.6920739908095014,False,False,False
0,primary,rep00_S01_T02,1,2,valence,midpoint_as_high,primary_test,order_quadratic_logistic,128,66,62,0.703125,0.7033235581622679,0.703052503052503,0.8831867057673509,0.19180199472522474,0.5664572725499558,False,False,False
