dataset,repetition,role,subject_fold,stimulus_fold,task,label_policy,source_train_rows_total,source_train_scored_paired_rows,class_0_anchors,class_1_anchors,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,paired_modality_anchor_rate,operational_verdict
DEAP,0,primary,2,3,valence,midpoint_as_low,720,720,298,422,260,262.0,266.0,381.0,393.0,406,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,3,valence,midpoint_as_high,720,720,291,429,254,256.0,260.0,388.0,400.0,412,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,3,arousal,discard_midpoint,720,716,298,418,251,258.15,268.0,379.0,390.0,400,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,3,arousal,midpoint_as_low,720,720,302,418,255,262.19,272.0,379.0,390.0,400,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,3,arousal,midpoint_as_high,720,720,298,422,251,258.19,268.0,383.0,394.0,404,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,valence,discard_midpoint,720,708,322,386,281,284.0,288.0,346.0,359.0,375,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,valence,midpoint_as_low,720,720,334,386,293,295.0,299.0,346.0,359.0,375,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,valence,midpoint_as_high,720,720,322,398,281,284.0,288.0,358.0,370.0,387,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,arousal,discard_midpoint,720,709,269,440,230,234.08,242.0,401.0,410.20000000000005,424,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,arousal,midpoint_as_low,720,720,280,440,239,244.0,252.0,401.0,410.0,424,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,0,arousal,midpoint_as_high,720,720,269,451,230,234.19,242.0,412.0,421.0,438,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,valence,discard_midpoint,720,711,312,399,272,274.0,278.0,359.0,369.0,387,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,valence,midpoint_as_low,720,720,321,399,281,282.0,286.0,359.0,369.0,387,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,valence,midpoint_as_high,720,720,312,408,272,274.0,278.0,367.0,378.0,396,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,arousal,discard_midpoint,720,707,267,440,230,233.06,240.0,400.0,411.0,423,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,arousal,midpoint_as_low,720,720,280,440,241,245.0,252.0,400.0,411.0,423,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,1,arousal,midpoint_as_high,720,720,267,453,230,233.19,240.0,413.0,423.0,434,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,valence,discard_midpoint,720,708,357,351,309,310.07,314.7,323.0,332.0,344,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,valence,midpoint_as_low,720,720,369,351,309,310.19,315.0,331.0,341.0,355,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,valence,midpoint_as_high,720,720,357,363,314,317.0,321.0,327.0,339.0,352,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,arousal,discard_midpoint,720,706,284,422,247,249.0,256.0,383.0,394.0,406,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,arousal,midpoint_as_low,720,720,298,422,257,262.0,268.0,382.0,393.1,406,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,2,arousal,midpoint_as_high,720,720,284,436,247,249.0,256.0,396.0,407.0,421,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,valence,discard_midpoint,720,705,302,403,263,265.04,270.0,363.0,375.6,390,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,valence,midpoint_as_low,720,720,317,403,278,279.0,284.0,363.0,375.0,390,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,valence,midpoint_as_high,720,720,302,418,263,265.19,270.0,378.0,390.0,405,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,arousal,discard_midpoint,720,713,278,435,242,243.12,251.0,396.0,406.0,418,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,arousal,midpoint_as_low,720,720,285,435,245,250.0,257.0,396.0,406.0,418,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,3,3,arousal,midpoint_as_high,720,720,278,442,242,243.19,251.0,403.0,413.0,426,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,valence,discard_midpoint,720,709,283,426,240,246.0,252.0,386.0,397.0,414,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,valence,midpoint_as_low,720,720,294,426,251,257.0,262.9,386.0,397.0,414,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,valence,midpoint_as_high,720,720,283,437,240,246.0,252.0,396.0,407.0,425,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,arousal,discard_midpoint,720,711,301,410,258,264.0,272.0,372.0,382.0,395,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,arousal,midpoint_as_low,720,720,310,410,267,272.19,280.0,372.0,382.0,395,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,0,arousal,midpoint_as_high,720,720,301,419,258,264.0,272.0,381.0,391.0,403,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,valence,discard_midpoint,720,709,309,400,268,271.0,276.0,360.0,372.0,386,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,valence,midpoint_as_low,720,720,320,400,279,281.19,286.0,360.0,372.0,386,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,valence,midpoint_as_high,720,720,309,411,268,271.0,276.0,370.0,383.0,397,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,arousal,discard_midpoint,720,713,302,411,260,265.0,273.0,372.0,383.0,397,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,arousal,midpoint_as_low,720,720,309,411,266,272.0,279.0,371.5,383.0,397,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,1,arousal,midpoint_as_high,720,720,302,418,260,265.0,273.0,379.0,390.0,403,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,valence,discard_midpoint,720,711,334,377,296,297.0,300.0,336.0,351.0,362,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,valence,midpoint_as_low,720,720,343,377,304,305.0,308.0,335.0,351.0,362,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,valence,midpoint_as_high,720,720,334,386,296,297.0,300.0,346.0,360.0,370,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,arousal,discard_midpoint,720,713,282,431,239,246.0,254.0,392.0,402.0,416,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,arousal,midpoint_as_low,720,720,289,431,246,253.0,261.0,392.0,402.0,416,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,2,arousal,midpoint_as_high,720,720,282,438,239,246.0,254.0,398.0,409.0,422,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,valence,discard_midpoint,720,709,352,357,310,313.0,316.0,322.0,333.0,345,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,valence,midpoint_as_low,720,720,363,357,312,314.0,321.0,328.0,338.0,350,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,valence,midpoint_as_high,720,720,352,368,310,313.0,316.0,329.0,342.0,356,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,arousal,discard_midpoint,720,713,285,428,243,248.12,257.2,390.0,399.0,412,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,arousal,midpoint_as_low,720,720,292,428,250,255.19,264.0,389.5,399.0,412,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,0,3,arousal,midpoint_as_high,720,720,285,435,243,248.19,257.9,396.0,406.0,418,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,0,valence,discard_midpoint,720,710,271,439,234,236.09,241.0,398.0,410.0,420,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,0,valence,midpoint_as_low,720,720,281,439,243,245.19,250.0,398.0,410.0,420,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,0,valence,midpoint_as_high,720,720,271,449,234,236.19,241.0,407.0,419.0,430,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,0,arousal,discard_midpoint,720,706,309,397,269,272.0,278.0,358.5,370.0,383,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,1,sensitivity,1,0,arousal,midpoint_as_low,720,720,323,397,279,284.0,291.0,358.0,370.0,383,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
