scheme,cell_id,subject_fold,stimulus_fold,task,label_policy,held_subject_count,held_stimulus_count,source_subject_count,source_stimulus_count,train_physical_trials_before_policy,test_physical_trials_before_policy,train_retained,test_retained,test_midpoints_removed,test_midpoint_removed_fraction,train_low,train_high,test_low,test_high,train_single_class,test_single_class,test_rows_after_eeg_emg_availability,test_low_after_eeg_emg_availability,test_high_after_eeg_emg_availability,seen_subject_unseen_stimulus_retained,seen_subject_unseen_stimulus_low,seen_subject_unseen_stimulus_high,unseen_subject_seen_stimulus_retained,unseen_subject_seen_stimulus_low,unseen_subject_seen_stimulus_high,train_majority_class,train_majority_test_accuracy,train_majority_test_balanced_accuracy,train_majority_test_macro_f1,oracle_test_majority_accuracy_diagnostic_only,theoretical_balanced_accuracy_chance,train_stimulus_label_nmi,test_stimulus_label_nmi,train_subject_label_nmi,test_subject_label_nmi,test_presentation_order_js_divergence,subject_leakage,stimulus_leakage,test_independent_subjects,test_independent_stimuli,test_min_axis_units_capacity_proxy,exact_statistical_ess_identifiable_pre_model,session_split_leakage
idare_4x4,idare_4x4_S01_T02,1,2,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,741,387,83,45,False,False,128,83,45,376,250,126,384,255,129,0,0.6484375,0.5,0.3933649289099526,0.6484375,0.5,0.08699053635617612,0.16901160202489296,0.044344366938975685,0.031413628353469884,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T02,1,2,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,622,506,71,57,False,False,128,71,57,376,207,169,384,212,172,0,0.5546875,0.5,0.35678391959798994,0.5546875,0.5,0.09337278982531774,0.1775817003648915,0.042835069283180406,0.04072607601350266,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,valence,discard_midpoint,16,8,47,24,1128,128,930,103,25,0.1953125,455,475,52,51,False,False,103,52,51,315,150,165,319,155,164,1,0.49514563106796117,0.5,0.33116883116883117,0.5048543689320388,0.5,0.29336650132359826,0.4612678284749616,0.004851929652095115,0.009944702950104084,0.5554799515121456,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,653,475,77,51,False,False,128,77,51,376,211,165,384,220,164,0,0.6015625,0.5,0.375609756097561,0.6015625,0.5,0.21080326024609256,0.3731046492600464,0.006438607386411007,0.007746577033128083,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,455,673,52,76,False,False,128,52,76,376,150,226,384,155,229,1,0.59375,0.5,0.37254901960784315,0.59375,0.5,0.22441663120983066,0.32500408018498533,0.0052901093090272615,0.015420076363078612,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,arousal,discard_midpoint,16,8,47,24,1128,128,1007,115,13,0.1015625,621,386,73,42,False,False,115,73,42,335,208,127,342,210,132,0,0.6347826086956522,0.5,0.3882978723404255,0.6347826086956522,0.5,0.10832482220556441,0.23174432195876565,0.05278363667221164,0.03305812986961875,0.5493260528718927,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,742,386,86,42,False,False,128,86,42,376,249,127,384,252,132,0,0.671875,0.5,0.40186915887850466,0.671875,0.5,0.08967377083947131,0.210747860826634,0.04555585838214788,0.02837644567286499,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T03,1,3,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,621,507,73,55,False,False,128,73,55,376,208,168,384,210,174,0,0.5703125,0.5,0.36318407960199006,0.5703125,0.5,0.08798625691421483,0.1878769239025657,0.03945410702628464,0.03621475811333254,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,valence,discard_midpoint,16,8,47,24,1128,128,936,108,20,0.15625,452,484,53,55,False,False,108,53,55,309,153,156,314,154,160,1,0.5092592592592593,0.5,0.3374233128834356,0.5092592592592593,0.5,0.2946387007482389,0.41826133202958937,0.004410450005343594,0.008190197527304882,0.5518189063224889,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,644,484,73,55,False,False,128,73,55,376,220,156,384,224,160,0,0.5703125,0.5,0.36318407960199006,0.5703125,0.5,0.22971071643406563,0.26844665283116204,0.005269051445503961,0.014841643751305058,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,452,676,53,75,False,False,128,53,75,376,153,223,384,154,230,1,0.5859375,0.5,0.3694581280788177,0.5859375,0.5,0.21951071840117437,0.37736584333000295,0.005095580046093497,0.006431738154977726,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,arousal,discard_midpoint,16,8,47,24,1128,128,1005,112,16,0.125,621,384,68,44,False,False,112,68,44,337,208,129,345,215,130,0,0.6071428571428571,0.5,0.37777777777777777,0.6071428571428571,0.5,0.10741579614825648,0.22127347911146006,0.05225032963329562,0.03907639466116453,0.5490846826634034,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,744,384,84,44,False,False,128,84,44,376,247,129,384,254,130,0,0.65625,0.5,0.39622641509433965,0.65625,0.5,0.08211038448853755,0.17658533900486856,0.046584241192879475,0.027260619513011407,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T04,1,4,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,621,507,68,60,False,False,128,68,60,376,208,168,384,215,169,0,0.53125,0.5,0.3469387755102041,0.53125,0.5,0.09650946205924398,0.15964227673662656,0.03924763742667969,0.04498664635786073,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,valence,discard_midpoint,16,8,47,24,1128,128,936,111,17,0.1328125,465,471,58,53,False,False,111,58,53,306,138,168,314,151,163,1,0.4774774774774775,0.5,0.3231707317073171,0.5225225225225225,0.5,0.2996500461385705,0.374926693854141,0.0041267270652262265,0.015130103877582509,0.5526936727890335,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,657,471,75,53,False,False,128,75,53,376,208,168,384,221,163,0,0.5859375,0.5,0.3694581280788177,0.5859375,0.5,0.21918787364721787,0.2913268429179243,0.005210736993877316,0.01362032152078912,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,465,663,58,70,False,False,128,58,70,376,138,238,384,151,233,1,0.546875,0.5,0.35353535353535354,0.546875,0.5,0.23810326883126162,0.33559737779671683,0.005654310954882107,0.01831113025126387,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,arousal,discard_midpoint,16,8,47,24,1128,128,1001,110,18,0.140625,619,382,65,45,False,False,110,65,45,341,212,129,347,216,131,0,0.5909090909090909,0.5,0.37142857142857144,0.5909090909090909,0.5,0.11978517886793111,0.1778117787176875,0.03396981345135017,0.10760114311728927,0.5497055681149583,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,746,382,83,45,False,False,128,83,45,376,247,129,384,253,131,0,0.6484375,0.5,0.3933649289099526,0.6484375,0.5,0.09500950887544575,0.12585549487257391,0.027772990019905935,0.10004166557488034,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T01,2,1,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,619,509,65,63,False,False,128,65,63,376,212,164,384,216,168,0,0.5078125,0.5,0.33678756476683935,0.5078125,0.5,0.09474980256942048,0.15351339458253205,0.031235973034485668,0.07222173427509236,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,valence,discard_midpoint,16,8,47,24,1128,128,931,104,24,0.1875,447,484,52,52,False,False,104,52,52,311,156,155,321,157,164,1,0.5,0.5,0.3333333333333333,0.5,0.5,0.30077855181679447,0.44394750564409946,0.004692424133540836,0.01296947809930683,0.5524864209919094,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,644,484,76,52,False,False,128,76,52,376,221,155,384,220,164,0,0.59375,0.5,0.37254901960784315,0.59375,0.5,0.2161223674895695,0.33180060581479465,0.006754189470387881,0.018034610242687613,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,447,681,52,76,False,False,128,52,76,376,156,220,384,157,227,1,0.59375,0.5,0.37254901960784315,0.59375,0.5,0.23330180432415212,0.32787023432770857,0.004607686991320034,0.015582351491162966,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,arousal,discard_midpoint,16,8,47,24,1128,128,1010,117,11,0.0859375,622,388,69,48,False,False,117,69,48,332,209,123,340,212,128,0,0.5897435897435898,0.5,0.3709677419354839,0.5897435897435898,0.5,0.12843985259218907,0.11665846244055378,0.03398273149601346,0.09728148032709717,0.5493233553772406,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,740,388,80,48,False,False,128,80,48,376,253,123,384,256,128,0,0.625,0.5,0.38461538461538464,0.625,0.5,0.10442200715855772,0.10422633971065627,0.02803468620731868,0.10140849740225742,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T02,2,2,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,622,506,69,59,False,False,128,69,59,376,209,167,384,212,172,0,0.5390625,0.5,0.350253807106599,0.5390625,0.5,0.10529429691394226,0.09933577521540188,0.03155904461180911,0.05652249784943197,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,valence,discard_midpoint,16,8,47,24,1128,128,928,104,24,0.1875,449,479,48,56,False,False,104,48,56,314,154,160,321,161,160,1,0.5384615384615384,0.5,0.35,0.5384615384615384,0.5,0.2930028660491517,0.43952746454962927,0.00449998080463654,0.012112314464564766,0.5536650501992582,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,649,479,72,56,False,False,128,72,56,376,216,160,384,224,160,0,0.5625,0.5,0.36,0.5625,0.5,0.20572048692752118,0.36493514451162484,0.007358832730630775,0.009332101272185074,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,449,679,48,80,False,False,128,48,80,376,154,222,384,161,223,1,0.625,0.5,0.38461538461538464,0.625,0.5,0.23293426225330646,0.30069199969030674,0.0038527143128678164,0.02021495000275337,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,arousal,discard_midpoint,16,8,47,24,1128,128,1006,114,14,0.109375,621,385,71,43,False,False,114,71,43,336,210,126,343,210,133,0,0.6228070175438597,0.5,0.3837837837837838,0.6228070175438597,0.5,0.12975443229168265,0.16160556672490622,0.03351312154263498,0.0911127767448346,0.5493218660948376,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,743,385,85,43,False,False,128,85,43,376,250,126,384,251,133,0,0.6640625,0.5,0.39906103286384975,0.6640625,0.5,0.10707421805026734,0.11841789083540337,0.02719291246002831,0.07886474910790338,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T03,2,3,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,621,507,71,57,False,False,128,71,57,376,210,166,384,210,174,0,0.5546875,0.5,0.35678391959798994,0.5546875,0.5,0.10181177696891623,0.14032997134572026,0.030197717342012983,0.07403864872409556,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,valence,discard_midpoint,16,8,47,24,1128,128,931,106,22,0.171875,448,483,51,55,False,False,106,51,55,311,155,156,319,158,161,1,0.5188679245283019,0.5,0.3416149068322981,0.5188679245283019,0.5,0.29624594302443297,0.4130758618437659,0.004390707838096176,0.014776630770707759,0.5503092770066667,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,645,483,73,55,False,False,128,73,55,376,220,156,384,223,161,0,0.5703125,0.5,0.36318407960199006,0.5703125,0.5,0.22593947389204233,0.27862331698990245,0.005469935526124082,0.014165510308506414,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,448,680,51,77,False,False,128,51,77,376,155,221,384,158,226,1,0.6015625,0.5,0.375609756097561,0.6015625,0.5,0.22526861142863053,0.29639585822209985,0.004833505223267632,0.019694032687635248,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,arousal,discard_midpoint,16,8,47,24,1128,128,1009,116,12,0.09375,631,378,76,40,False,False,116,76,40,333,200,133,341,205,136,0,0.6551724137931034,0.5,0.3958333333333333,0.6551724137931034,0.5,0.12516582091875147,0.11722825840741802,0.03384681419541716,0.09790684158835934,0.5494216073942961,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,750,378,88,40,False,False,128,88,40,376,243,133,384,248,136,0,0.6875,0.5,0.4074074074074074,0.6875,0.5,0.09785168481496298,0.10299638492479332,0.02892940243406615,0.07886591915019159,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S02_T04,2,4,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,631,497,76,52,False,False,128,76,52,376,200,176,384,205,179,0,0.59375,0.5,0.37254901960784315,0.59375,0.5,0.10800784132720408,0.09876786568765394,0.02998933857747139,0.09994192615616634,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,valence,discard_midpoint,16,8,47,24,1128,128,932,104,24,0.1875,458,474,48,56,False,False,104,48,56,313,148,165,318,158,160,1,0.5384615384615384,0.5,0.35,0.5384615384615384,0.5,0.2988839154844098,0.3758517558874563,0.004723001209612824,0.009994259419458402,0.5513807683590278,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,654,474,72,56,False,False,128,72,56,376,211,165,384,224,160,0,0.5625,0.5,0.36,0.5625,0.5,0.21913554584873715,0.26799348902044745,0.005288577661328411,0.018789570047880108,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,458,670,48,80,False,False,128,48,80,376,148,228,384,158,226,1,0.625,0.5,0.38461538461538464,0.625,0.5,0.23128725635219852,0.2663860870569585,0.00654390164819906,0.009848741686051538,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,arousal,discard_midpoint,16,8,47,24,1128,128,1008,117,11,0.0859375,622,386,70,47,False,False,117,70,47,334,207,127,340,213,127,0,0.5982905982905983,0.5,0.37433155080213903,0.5982905982905983,0.5,0.11833561188383855,0.18570973402489546,0.04102062879728766,0.0735793654369741,0.5494040544403804,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,742,386,81,47,False,False,128,81,47,376,249,127,384,257,127,0,0.6328125,0.5,0.3875598086124402,0.6328125,0.5,0.09533757875973206,0.14494287244891532,0.03531449403538603,0.0672055842537219,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T01,3,1,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,622,506,70,58,False,False,128,70,58,376,207,169,384,213,171,0,0.546875,0.5,0.35353535353535354,0.546875,0.5,0.09408876780972183,0.18209415765886391,0.03245408154059923,0.06407416796261511,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,valence,discard_midpoint,16,8,47,24,1128,128,936,106,22,0.171875,453,483,55,51,False,False,106,55,51,309,153,156,316,151,165,1,0.4811320754716981,0.5,0.3248407643312102,0.5188679245283019,0.5,0.2954648466967423,0.40795635011705295,0.0051360100154809185,0.019440907482325496,0.5535013302970135,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,645,483,77,51,False,False,128,77,51,376,220,156,384,219,165,0,0.6015625,0.5,0.375609756097561,0.6015625,0.5,0.21774731224156627,0.3062714308343141,0.005585526088267332,0.022826755769903936,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,453,675,55,73,False,False,128,55,73,376,153,223,384,151,233,1,0.5703125,0.5,0.36318407960199006,0.5703125,0.5,0.22713754386379786,0.3138779126390318,0.0064867913401127734,0.011718759537423424,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,arousal,discard_midpoint,16,8,47,24,1128,128,1001,108,20,0.15625,622,379,71,37,False,False,108,71,37,341,207,134,349,212,137,0,0.6574074074074074,0.5,0.39664804469273746,0.6574074074074074,0.5,0.12817450033766123,0.1412741987265107,0.040731897180475485,0.060866867199378887,0.5504446469342323,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,749,379,91,37,False,False,128,91,37,376,242,134,384,247,137,0,0.7109375,0.5,0.4155251141552511,0.7109375,0.5,0.10237161007491055,0.10419115149297496,0.03479918938128267,0.04639030223890194,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T02,3,2,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,622,506,71,57,False,False,128,71,57,376,207,169,384,212,172,0,0.5546875,0.5,0.35678391959798994,0.5546875,0.5,0.10235035705935314,0.11705744677182175,0.033302346219690276,0.06650622612794128,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,valence,discard_midpoint,16,8,47,24,1128,128,938,111,17,0.1328125,456,482,52,59,False,False,111,52,59,307,150,157,311,154,157,1,0.5315315315315315,0.5,0.34705882352941175,0.5315315315315315,0.5,0.29055389347895133,0.4444492237594296,0.004762253678801077,0.009408208019444728,0.5530654651467747,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,646,482,69,59,False,False,128,69,59,376,219,157,384,227,157,0,0.5390625,0.5,0.350253807106599,0.5390625,0.5,0.2097215459877694,0.400073534942218,0.005770384898389492,0.006216630913031161,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,456,672,52,76,False,False,128,52,76,376,150,226,384,154,230,1,0.59375,0.5,0.37254901960784315,0.59375,0.5,0.23343594889236982,0.3376291013993292,0.00544896903563484,0.013130092739638319,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,arousal,discard_midpoint,16,8,47,24,1128,128,1008,116,12,0.09375,619,389,71,45,False,False,116,71,45,334,210,124,341,212,129,0,0.6120689655172413,0.5,0.37967914438502676,0.6120689655172413,0.5,0.1231702858405672,0.12585314302713788,0.043258353274412714,0.08237787223073614,0.549593987072447,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,739,389,83,45,False,False,128,83,45,376,252,124,384,255,129,0,0.6484375,0.5,0.3933649289099526,0.6484375,0.5,0.10160333872873152,0.0910663813738884,0.03834221935585722,0.07728776366297505,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T03,3,3,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,619,509,71,57,False,False,128,71,57,376,210,166,384,212,172,0,0.5546875,0.5,0.35678391959798994,0.5546875,0.5,0.09685187930346945,0.13382579953667512,0.03173691481816302,0.08136025246012356,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T04,3,4,valence,discard_midpoint,16,8,47,24,1128,128,929,101,27,0.2109375,451,478,51,50,False,False,101,51,50,316,155,161,321,155,166,1,0.49504950495049505,0.5,0.33112582781456956,0.504950495049505,0.5,0.2957897919595804,0.4485102746079,0.004427106806597829,0.018479340428310197,0.5523408578630589,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T04,3,4,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,650,478,78,50,False,False,128,78,50,376,215,161,384,218,166,0,0.609375,0.5,0.3786407766990291,0.609375,0.5,0.22544206615175905,0.24987646949159434,0.004450185324625228,0.02221410825471152,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T04,3,4,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,451,677,51,77,False,False,128,51,77,376,155,221,384,155,229,1,0.6015625,0.5,0.375609756097561,0.6015625,0.5,0.22589602409612783,0.34729186801159767,0.005711750073730922,0.023404338227157654,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T04,3,4,arousal,discard_midpoint,16,8,47,24,1128,128,1009,116,12,0.09375,624,385,71,45,False,False,116,71,45,333,205,128,341,212,129,0,0.6120689655172413,0.5,0.37967914438502676,0.6120689655172413,0.5,0.12565364443062768,0.15253066094556006,0.040522700984475135,0.06382602235807942,0.549727544214057,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S03_T04,3,4,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,743,385,83,45,False,False,128,83,45,376,248,128,384,255,129,0,0.6484375,0.5,0.3933649289099526,0.6484375,0.5,0.09917035835412161,0.13854944853157763,0.037005910290699676,0.04922422380867431,0.5487949406953986,False,False,16,8,8,False,False
