dataset,artifact_path,commit_sha,analysis_type,protocol,task,label_policy,uses_target_subject,uses_target_stimulus,strict_joint,reproducible,usable_for_current_audit,notes,commit_date,commit_message,git_status_at_commit,current_path_exists,deleted_later_in_history
I-DARE,docs/idare_arousal_baseline_corrected_recipe_compare_4fold_smoke.json,815b9c50e0e94d3e09d192bfbdef918a3ef24418,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:36:33+03:00,exp: compare arousal recipes across four baseline corrected folds,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_recipe_compare_4fold_smoke.md,815b9c50e0e94d3e09d192bfbdef918a3ef24418,prior-or-baseline,leave-one-subject-out,arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:36:33+03:00,exp: compare arousal recipes across four baseline corrected folds,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_recipe_compare_smoke.json,2619e2960522fc89d0b3712adcc3175ed92c14c1,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:32:01+03:00,exp: compare arousal recipes on baseline corrected cache,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_recipe_compare_smoke.md,2619e2960522fc89d0b3712adcc3175ed92c14c1,prior-or-baseline,leave-one-subject-out,arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:32:01+03:00,exp: compare arousal recipes on baseline corrected cache,A,yes,no
I-DARE,docs/idare_baseline_correction_audit.json,819a6cdc4417b4ecb0cba0aaa9e0f47fbdc29661,model-or-training-result,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:01:39+03:00,analysis: audit I-DARE baseline correction feasibility,A,yes,no
I-DARE,docs/idare_baseline_correction_audit.md,819a6cdc4417b4ecb0cba0aaa9e0f47fbdc29661,model-or-training-result,smoke-or-partial,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:01:39+03:00,analysis: audit I-DARE baseline correction feasibility,A,yes,no
I-DARE,docs/idare_baseline_modeling_literature_plan.json,0967b9ea4c176527eca794edecd4ba9fb92ba27c,model-or-training-result,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T17:40:11+03:00,docs: plan I-DARE baseline-aware modeling review,A,yes,no
DEAP+I-DARE,docs/idare_baseline_modeling_literature_plan.md,0967b9ea4c176527eca794edecd4ba9fb92ba27c,prior-or-baseline,leave-one-subject-out,valence+arousal,midpoint_as_high,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T17:40:11+03:00,docs: plan I-DARE baseline-aware modeling review,A,yes,no
I-DARE,docs/idare_discard_midpoint_sanity_status.md,9de41dd405380d02e360aaf4a48e84e51bff8cc5,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:36:42+03:00,docs: record discard-midpoint I-DARE sanity baseline,A,yes,no
I-DARE,docs/idare_eeg_baseline_corrected_cache_build_report.json,763db69db33cba867d8a0d6b80a54a385e8370e2,data-or-cache-audit,unspecified,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:15:24+03:00,docs: record full baseline corrected I-DARE EEG cache build,A,yes,no
I-DARE,docs/idare_eeg_baseline_corrected_cache_build_report.md,763db69db33cba867d8a0d6b80a54a385e8370e2,data-or-cache-audit,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:15:24+03:00,docs: record full baseline corrected I-DARE EEG cache build,A,yes,no
I-DARE,docs/idare_eeg_baseline_corrected_cache_build_smoke.json,d72f8782b8a9251f0cd69fe798c756d127be7aca,data-or-cache-audit,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:09:19+03:00,exp: add baseline corrected I-DARE EEG cache builder smoke,A,yes,no
I-DARE,docs/idare_eeg_baseline_corrected_cache_build_smoke.md,d72f8782b8a9251f0cd69fe798c756d127be7aca,data-or-cache-audit,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:09:19+03:00,exp: add baseline corrected I-DARE EEG cache builder smoke,A,yes,no
I-DARE,docs/idare_eeg_cache_discard_midpoint_sanity.json,37690fba5f907b298b536b315ef90d9d96775d80,chance-or-null-analysis,unspecified,valence+arousal,discard_midpoint,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:36:18+03:00,scripts: run discard-midpoint I-DARE EEG sanity baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_discard_midpoint_sanity.md,37690fba5f907b298b536b315ef90d9d96775d80,chance-or-null-analysis,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:36:18+03:00,scripts: run discard-midpoint I-DARE EEG sanity baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_focused_baseline.json,0e063f9df3f8fae286574d02946072d8e76280b0,chance-or-null-analysis,unspecified,valence+arousal,midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:02:41+03:00,scripts: run focused cache-based I-DARE EEG baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_focused_baseline.md,0e063f9df3f8fae286574d02946072d8e76280b0,chance-or-null-analysis,leave-one-subject-out,valence+arousal,midpoint_as_high+midpoint_as_low,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:02:41+03:00,scripts: run focused cache-based I-DARE EEG baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_focused_baseline_plan.md,0e063f9df3f8fae286574d02946072d8e76280b0,chance-or-null-analysis,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:02:41+03:00,scripts: run focused cache-based I-DARE EEG baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_main_baseline.json,e36c1742d5ef87ecb8c0f4ca8b861a8de8f03598,chance-or-null-analysis,unspecified,valence+arousal,midpoint_as_high,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:16:00+03:00,scripts: run cache-based I-DARE EEG main baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_main_baseline.md,e36c1742d5ef87ecb8c0f4ca8b861a8de8f03598,chance-or-null-analysis,leave-one-subject-out,valence+arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:16:00+03:00,scripts: run cache-based I-DARE EEG main baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_policy_mini_baseline.json,01ce2055e23816d340ea0881dfe3be273c8525b1,chance-or-null-analysis,unspecified,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T14:41:53+03:00,scripts: run cache-based I-DARE EEG policy mini baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_policy_mini_baseline.md,01ce2055e23816d340ea0881dfe3be273c8525b1,chance-or-null-analysis,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T14:41:53+03:00,scripts: run cache-based I-DARE EEG policy mini baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_policy_mini_baseline_plan.md,01ce2055e23816d340ea0881dfe3be273c8525b1,model-or-training-result,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T14:41:53+03:00,scripts: run cache-based I-DARE EEG policy mini baseline,A,yes,no
I-DARE,docs/idare_eeg_cache_recipe_stabilization_status.md,bf79f00f8b1658d2b24e7fa7d0f64bc8f3a59261,chance-or-null-analysis,leave-one-subject-out,valence+arousal,midpoint_as_high,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:38:02+03:00,docs: update four-fold arousal baseline corrected recipe comparison status,M,yes,no
I-DARE,docs/idare_eeg_legacy_r0_smoke.json,896cf309cb33db0c432c78afb587ee840bf59737,model-or-training-result,smoke-or-partial,valence,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T11:19:40+03:00,models: add legacy MAHNOB EEG R0 smoke baseline,A,yes,no
I-DARE,docs/idare_eeg_legacy_r0_smoke.md,896cf309cb33db0c432c78afb587ee840bf59737,model-or-training-result,leave-one-subject-out,valence,midpoint_as_high,no,yes,no,likely,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T11:19:40+03:00,models: add legacy MAHNOB EEG R0 smoke baseline,A,yes,no
I-DARE,docs/idare_eeg_main_baseline_status.md,8fa14bf85e84914998217dede2377e71b1c53c92,model-or-training-result,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:30:42+03:00,docs: record I-DARE EEG main baseline status,M,yes,no
I-DARE,docs/idare_eeg_policy_mini_baseline.json,38c1d9d6d8b3b255ee76b096708e895c7c7d0481,chance-or-null-analysis,unspecified,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,unknown,unknown,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T13:00:01+03:00,scripts: run I-DARE EEG policy mini baseline,A,yes,no
I-DARE,docs/idare_eeg_policy_mini_baseline.md,38c1d9d6d8b3b255ee76b096708e895c7c7d0481,chance-or-null-analysis,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T13:00:01+03:00,scripts: run I-DARE EEG policy mini baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_arousal_standardized_smoke.json,0e9594ddd055c70359564c3658171b8e42f100ef,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_arousal_standardized_smoke.md,0e9594ddd055c70359564c3658171b8e42f100ef,prior-or-baseline,leave-one-subject-out,arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_arousal_standardized_smoke_predictions.csv,0e9594ddd055c70359564c3658171b8e42f100ef,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_standardized_status.json,18da6372bd6b728db2587f72d6299c1412ce9f77,model-or-training-result,leave-one-subject-out,valence+arousal,midpoint_as_high,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:35:46+03:00,docs: freeze standardized I-DARE EEG STIM-BSL baseline status,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_standardized_status.md,18da6372bd6b728db2587f72d6299c1412ce9f77,model-or-training-result,leave-one-subject-out,valence+arousal,midpoint_as_high,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:35:46+03:00,docs: freeze standardized I-DARE EEG STIM-BSL baseline status,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_valence_standardized_smoke.json,0e9594ddd055c70359564c3658171b8e42f100ef,model-or-training-result,smoke-or-partial,valence,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_valence_standardized_smoke.md,0e9594ddd055c70359564c3658171b8e42f100ef,prior-or-baseline,leave-one-subject-out,valence,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_eeg_stim_bsl_only_valence_standardized_smoke_predictions.csv,0e9594ddd055c70359564c3658171b8e42f100ef,model-or-training-result,smoke-or-partial,valence,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-07T16:23:27+03:00,exp: smoke standardized I-DARE EEG STIM-BSL baseline,A,yes,no
I-DARE,docs/idare_label_semantics_alternative_formulation_pair_baseline_control.csv,20f6628d2a37e0d460935e039a0754c06749ba8c,other,smoke-or-partial,valence+arousal,unspecified,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-08T19:47:30+03:00,analysis: run I-DARE alternative formulation smoke tests,A,yes,no
I-DARE,docs/idare_label_semantics_alternative_pairwise_formulation_reference_baseline_status.csv,ddc27e99b1c784eeb3bd35f845838cbc49aa5b21,model-or-training-result,smoke-or-partial,arousal,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-10T18:31:40+03:00,analysis: close out I-DARE pairwise formulation branch,A,yes,no
I-DARE,docs/idare_label_semantics_redesigned_task_baseline_control_summary.csv,1123cccbb4002c3d2d7809b4d4dd687e5cf9959d,model-or-training-result,smoke-or-partial,valence+arousal,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-08T14:24:30+03:00,analysis: add I-DARE redesigned task smoke tests report,A,yes,no
I-DARE,docs/idare_label_task_protocol_prior_results_interpretation_report.json,19188db74a80ebeaaea46a185f21305bae782abb,chance-or-null-analysis,leave-one-subject-out,unspecified,unspecified,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:14:55+03:00,analysis: run label task protocol reconciliation audit,A,yes,no
I-DARE,docs/idare_label_task_protocol_prior_results_interpretation_report.md,19188db74a80ebeaaea46a185f21305bae782abb,chance-or-null-analysis,leave-one-subject-out,unspecified,unspecified,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:14:55+03:00,analysis: run label task protocol reconciliation audit,A,yes,no
I-DARE,docs/idare_preprocessing_provenance_followup_prior_result_validity.csv,013d472eec8605de6ead730481fc794f2d10175d,model-or-training-result,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-11T12:59:54+03:00,analysis: resolve I-DARE preprocessing provenance followup,A,yes,no
I-DARE,docs/idare_preprocessing_provenance_prior_result_validity.csv,e6c0ebc0c0548829ba59d51c550e9c1fc9eb8f33,model-or-training-result,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-11T12:24:41+03:00,analysis: add I-DARE preprocessing provenance audit,A,yes,no
I-DARE,docs/idare_prior_best_cell_confirmation_authorization_package.json,2b6f8e92cb4a671bf2d55bb4d84889f8037adf71,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:54:57+03:00,docs: add I-DARE prior best cell confirmation package,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_cell_confirmation_authorization_package.md,2b6f8e92cb4a671bf2d55bb4d84889f8037adf71,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:54:57+03:00,docs: add I-DARE prior best cell confirmation package,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_cell_confirmation_matrix.json,2b6f8e92cb4a671bf2d55bb4d84889f8037adf71,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:54:57+03:00,docs: add I-DARE prior best cell confirmation package,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_cell_confirmation_matrix.md,2b6f8e92cb4a671bf2d55bb4d84889f8037adf71,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T13:54:57+03:00,docs: add I-DARE prior best cell confirmation package,A,yes,no
I-DARE,docs/idare_prior_best_confirm_artifact_review_bundle.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_artifact_review_bundle.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_confirm_closeout_report.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_closeout_report.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_confirmation_runs.csv,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_confirm_execution_report.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,model-or-training-result,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_execution_report.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_fold_level_report.csv,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_fold_level_report.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,arousal,midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_fold_level_report.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_confirm_leakage_scope_audit.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,model-or-training-result,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
DEAP+I-DARE,docs/idare_prior_best_confirm_leakage_scope_audit.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,model-or-training-result,unspecified,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_metric_summary.csv,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_metric_summary.json,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
I-DARE,docs/idare_prior_best_confirm_metric_summary.md,2b72f40e6f1ed68090b820d6ae96a94e5de56479,other,smoke-or-partial,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,manual-review,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-12T14:51:48+03:00,exp: run I-DARE prior-best confirmation,A,yes,no
